Party_Id,Name,Abbreviation,Initials,Matched to democlub,Duplicate in MNIS?,Duplicate ID,Notes (inc. expanded name),Name of Party remaining in MNIS,Actioned
1028,Independent Network,Independent Network,Independent Network,Yes,No,,,No change,-
228,Independent Political Alliance Party,Independent Political Alliance Party,Independent Political Alliance Party,No,No,,EC ID PP1790,Renamed - The Independent Political Alliance Party,AB
271,Independent Sovereign Democratic Britain,Independent Sovereign Democratic Britain,Independent Sovereign Democratic Britain,No,No,,EC ID PP2575,No change,-
218,Independents for Bristol,Independents for Bristol,Independents for Bristol,No,No,,EC ID PP2038,No change,-
103,Integrity,Integrity,Integrity,Yes,No,,Candidate actually stood for Integrity UK,Renamed - Integrity UK,AB
241,ISWSL,ISWSL,ISWSL,No,No,,"Independent Save Withybush Save Lives, EC ID PP2648",Renamed - Independent Save Withybush Save Lives,AB
104,IZB,IZB,IZB,No,No,,"Islam Zinda Baad Platform, EC ID PP449",Renamed - Islam Zinda Baad Platform,AB
105,JACP,JACP,JACP,No,Yes,265,Justice & Anti-Corruption Party,Justice & Anti-Corruption Party,PG
106,JOT,JOT,JOT,Yes,No,,Joy of Talk,Renamed - The Joy of Talk,AB
107,JP,JP,JP,No,No,,"Justice Party, EC ID PP157",Renamed - Justice Party,AB
173,Justice for Men & Boys,Justice for Men & Boys,Justice for Men & Boys,No,No,,,No change,-
243,Keep It Real Party,Keep It Real Party,Keep It Real Party,Yes,No,,,No change,-
15,Labour,Lab,L,Yes,No,"27, 28",,No change,-
43,Labour Independent,Lab Ind,Lab Ind,No,Yes,"10, 11",Possible duplicating these MNIS IDs,No change,-
219,Land Party,Land Party,Land Party,Yes,Yes,108,,kept,PG
108,Land power,Land power,Land power,Yes,Yes,219,"Land is power, description for Land Party",Land Party,PG
17,Liberal Democrat,LD,LD,Yes,No,,,No change,-
186,Left Unity,Left Unity,Left Unity,Yes,Yes,188,,kept,PG
188,Left Unity - Trade Unionists and Socialists,Left Unity - Trade Unionists and Socialists,Left Unity - Trade Unionists and Socialists,Yes,Yes,186,Left Unity,Replaced with Left Unity,PG
242,Lewisham People Before Profit,Lewisham People Before Profit,Lewisham People Before Profit,No,Yes,75,,Replaced with People Before Profit,PG
16,Liberal,Lib,,Yes,No,,"The Liberal Party. Associated with Lords, may have chosen to be referred to in this way so no change?",No change,-
51,Liberal Democrat Independent,Lib Dem Ind,,No,Yes,50,Same as Independent Liberal Democrat/,No change,-
109,Libertaria,Libertaria,Libertaria,Yes,Yes,1003,The Libertarian Party,replaced with Libertarian Party,PG
178,Liberty GB,Liberty GB,Liberty GB,Yes,No,,,No change,-
110,Lincs Ind,Lincs Ind,Lincs Ind,Yes,No,,Lincolnshire Independents Lincolnshire First,Renamed - Lincolnshire Independents Lincolnshire First,AB 
111,LLPBPP,LLPBPP,LLPBPP,Yes,No,,Local Liberals People Before Politics Party,Renamed - Local Liberals People Before Politics Party,AB
283,Lord Speaker,Lord Speaker,Lord Speaker,No,No,,,No change,-
113,LPBP,LPBP,LPBP,No,Yes,177,"London People Before Profit, also used for a PBP candidate (Nick Long)",People Before Profit,PG
114,LTT,LTT,LTT,Yes,No,,"Registered description (Lawfulness, Trustworthiness and Transparency) for Matriarchal Party United Kingdom Great Britain",Renamed - Matriarchal Party United Kingdom Great Britain,AB
115,Magna Cart,Magna Cart,Magna Cart,Yes,No,,The Magna Carta Party. Some candidates should be MC Conservation instead,Renamed - The Magna Carta Party,AB
215,Magna Carta Conservation Party Great Britain,Magna Carta Conservation Party Great Britain,Magna Carta Conservation Party Great Britain,Yes,No,,,No change,-
233,Mainstream,Mainstream,Mainstream,No,No,,"Candidate sat in 2015, party of same name in DC data deregistered in 2011",Renamed - Mainstream Party,AB
232,Manston Airport Independent Party,Manston Airport Independent Party,Manston Airport Independent Party,Yes,No,,,No change,-
116,Mebyon Ker,Mebyon Ker,Mebyon Ker,No,No,,"Mebyon Kernow, EC ID PP58",Renamed - Mebyon Kernow - The Party for Cornwall,AB
117,Medway,Medway,Medway,No,No,,"Medway Independent Party, EC ID 556",Renamed - Medway Independent Party,AB
118,MEP,MEP,MEP,No,No,,Middle England Party,Renamed - Middle England Party,AB
1048,Militant Bus-Pass Elvis Party,Militant Bus-Pass Elvis Party,,Yes,Yes,"68, 69, 89",,Church of the Militant Elvis Party,PG
269,Money Free Party,Money Free Party,Money Free Party,Yes,No,,,No change,-
1017,Motherworld Party,Motherworld Party,Motherworld Party,No,No,,,No change,-
18,MP for Brent East,MP for Brent East,,No,No,,No candidates associated with party,deleted,PG
119,MRLP,MRLP,MRLP,Yes,Yes,112,Official Monster Raving Loony Party,Changed to Official Monster Raving Loony Party,PG
112,Official Monster Raving Loony Party,MRLP,MRLP,Yes,Yes,119,,deleted,PG
120,MRP,MRP,MRP,No,No,,"Money Reform Party, EC ID PP513/PP514 (NI)",Renamed - Money Reform Party,AB
19,National Liberal & Conservative,Nat Lib & Con,Ind,No,No,,1 MP with this affiliation. No candidates associated with party.,No change,-
201,National Health Action Party,National Health Action Party,National Health Action Party,Yes,Yes,123,,kept,PG
121,NCDMV,NCDMV,NCDMV,No,No,,No Candidate Deserves My Vote!,Renamed - No Candidate Deserves My Vote!,AB
213,NEP,NEP,NEP,Yes,Yes,1038,North East Party,Replaced with The North East Party,PG
252,New Independent Centralists,New Independent Centralists,New Independent Centralists,No,No,,,No change,-
122,NF,NF,NF,Yes,No,,National Front,Renamed - National Front,AB
123,NHA,NHA,NHA,Yes,Yes,201,National Health Action,Replaced with National Health Action,PG
124,Nine11,Nine11,Nine11,Yes,No,,Nine eleven was an inside job,Renamed - nine eleven was an inside job,AB
125,NLP,NLP,NLP,Yes,No,,National Liberal Party - True Liberalism,Renamed - National Liberal Party - True Liberalism,AB
126,NMB,NMB,NMB,No,No,,New Millennium Bean Party,Renamed - New Millennium Bean Party,AB
1045,No description,No description,No description,No,Yes,"46, 49","Seem to be used in the same way for no description, to note people who choose not to be listed as independent",kept,-
127,Nobody,Nobody,Nobody,No,No,,"Nobody Party, EC ID PP870",Renamed - Nobody Party,AB
46,Other - Non Affiliated,Non affiliated,,No,Yes,"49, 1045","Seem to be used in the same way for no description, to note people who choose not to be listed as independent",No description,PG
282,North of England Community Alliance,North of England Community Alliance,North of England Community Alliance,Yes,No,,,No change,-
1049,Northern Independence,Northern Independence,,Yes,No,,,No change,-
128,NP,NP,NP,No,No,,"The New Party, EC ID PP352",Renamed - The New Party ,AB
129,NRP,NRP,NRP,No,No,,"Nationwide Reform Party, EC ID PP670",Renamed - Nationwide Reform Party,AB
130,NSOPS,NSOPS,NSOPS,Yes,No,,Northampton - Save Our Public Services,Renamed - Northampton - Save Our Public Services,AB
240,NSW,NSW,NSW,No,No,,"The New Society of Worth, EC ID PP2714",Renamed - The New Society of Worth,AB
257,One Love Party,One Love Party,One Love Party,No,No,,,No change,-
268,Open Borders Party,Open Borders Party,Open Borders Party,No,No,,,No change,-
21,Other,Oth,,No,Yes,,"Almost exclusively used for ""notional candidates"" in 2005 GE - potentially review and merge?",No change,-
234,Party for a United Thanet,Party for a United Thanet,Party for a United Thanet,No,No,,,No change,-
194,Patria,Patria,Patria,Yes,No,,,No change,-
205,Patriotic Socialist Party,Patriotic Socialist Party,Patriotic Socialist Party,No,Yes,135,,kept,PG
177,PBPA,PBPA,PBPA,Yes,Yes,113,People Before Profit Alliance. One candidate under London PBP needs changing to PBP,Changed to People Before Profit Alliance,PG
22,Plaid Cymru,PC,PC,Yes,No,,,No change,-
131,PDP,PDP,PDP,Yes,No,,People's Democratic Party,Renamed - People's Democratic Party,AB
245,People First - Gwerin Gyntaf,People First - Gwerin Gyntaf,People First - Gwerin Gyntaf,Yes,No,,,No change,-
132,Pirate,Pirate,Pirate,Yes,No,,Pirate Party UK,Renamed - Pirate Party UK,AB
133,PNDP,PNDP,PNDP,Yes,No,,"People's National Democratic Party, The P.N.D.P.",Renamed - The P.N.D.P.,AB
210,Population Party UK,Population Party UK,Population Party UK,Yes,No,,,No change,-
270,Populist Party,Populist Party,Populist Party,Yes,No,,,No change,-
134,PPNJE,PPNJE,PPNJE,No,Yes,154,"The Peace Party - Non-violence, Justice, Environment","Changed to The Peace Party - Non-violence, Justice, Environment",PG
23,Protestant Unionist,Prot U,,No,No,,1 Peer associated with party. ,No change,-
1031,Proud of Oldham & Saddleworth,Proud of Oldham & Saddleworth,Proud of Oldham & Saddleworth,No,No,,,No change,-
135,PSP,PSP,PSP,No,Yes,205,Patriotic Socialist Party,Patriotic Socialist Party,PG
1022,Psychedelic Future Party,Psychedelic Future Party,Psychedelic Future Party,Yes,Yes,1047,,Psychedelic Movement,PG
1047,Psychedelic Movement ,Psychedelic Movement,Psychedelic Movement,Yes,Yes,1022,,kept,PG
246,Putting Croydon First!,Putting Croydon First!,Putting Croydon First!,Yes,No,,,No change,-
195,Rebooting Democracy,Rebooting Democracy,Rebooting Democracy,Yes,No,,,No change,-
193,Red Flag - Anti-Corruption,Red Flag - Anti-Corruption,Red Flag - Anti-Corruption,Yes,No,,,No change,-
221,Reduce VAT in Sport,Reduce VAT in Sport,Reduce VAT in Sport,No,No,,,No change,-
24,Referendum,Ref,,No,No,,1 MP associated with this party. No candidates associated with party.,No change,-
136,Reform 200,Reform 200,Reform 200,No,No,,"Should be Reform 2000, EC ID PP86",Renamed - Reform 2000 Party,AB
1036,Reform UK,Reform UK,Reform UK,Yes,No,,,No change,-
1040,Rejoin EU,Rejoin EU,Rejoin EU,Yes,No,,,No change,-
1005,Renew,Renew,Renew,No,No,,EC ID PP6595,No change,-
25,Republican Labour,Rep Lab,,No,No,,,No change,-
251,Residents for Uttlesford,Residents for Uttlesford,Residents for Uttlesford,Yes,No,,,No change,-
26,Respect,Respect,,Yes,No,,1 Member. Respect Party,Renamed - The Respect Party,AB
137,Restoratio,Restoratio,Restoratio,Yes,No,,Restoration Party,Renamed - Restoration Party,AB
253,Restore the Family For Children's Sake,Restore the Family For Children's Sake,Restore the Family For Children's Sake,Yes,No,,,No change,-
227,Rochdale First Party,Rochdale First Party,Rochdale First Party,No,No,,,No change,-
138,RRG,RRG,RRG,No,No,,Radical Reform Group,Renamed - Radical Reform Group,AB
34,Socialist Alliance,SA,,No,No,,,No change,-
139,SACL,SACL,SACL,No,No,,"Scotland Against Crooked Lawyers, EC ID PP531",Renamed - Scotland Against Crooked Lawyers,AB
140,SAP,SAP,SAP,Yes,No,,Socialist Alternative,Renamed - Socialist Alternative,AB
141,SB,SB,SB,Yes,Yes,78,"Stop Banks (Stop Commercial Banks Owning Britain’s Money), description for Common Good Party ",Common Good,PG
142,Science,Science,Science,Yes,No,,The Science Party,Renamed - The Science Party,AB
28,Scottish Labour Party,SCLP,,Yes,No,"15, 27",Registered description of Labour party (PP53). No candidates associated with party.,kept,PG
275,Scotland's Independence Referendum Party,Scotland's Independence Referendum Party,Scotland's Independence Referendum Party,No,No,,,No change,-
1016,Scottish Family Party,Scottish Family Party,Scottish Family Party,Yes,No,,,No change,-
1039,Scottish Unionists,Scottish Unionists,Scottish Unionists,Yes,No,,,No change,-
143,Scrap,Scrap,Scrap,Yes,No,,Scrap Members Allowances,Renamed - Scrap Members Allowances,AB
31,Social Democratic & Labour Party,SDLP,SDLP,No,No,,,No change,-
32,Social Democratic Party,SDP,,Yes,No,,,No change,-
144,SEP,SEP,SEP,Yes,No,,Socialist Equality Party,Renamed - Socialist Equality Party,AB
30,Sinn Féin,SF,SF,No,No,,,No change,-
214,SHH,SHH,SHH,Yes,No,,Save Hartlepool Hospital,Renamed - Save Hartlepool Hospital,AB
1027,Shropshire Party,Shropshire Party,Shropshire Party,Yes,No,,,No change,-
145,SJP,SJP,SJP,Yes,No,,The Scottish Jacobite Party,Renamed - The Scottish Jacobite Party,AB
146,SKGH,SKGH,SKGH,Yes,No,,Save King George Hospital,Renamed - Save King George Hospital,AB
27,Scottish Labour,SL,,Yes,No,"15, 28",Registered description of Labour party (PP53). No candidates associated with party.,Deleted,PG
147,SLP,SLP,SLP,Yes,No,,Socialist Labour Party,Renamed - Socialist Labour Party,AB
148,SMRA,SMRA,SMRA,Yes,No,,"Solihull and Meriden Residents Association, EC ID PP840",Renamed - Solihull and Meriden Residents Association,AB
149,Snouts,Snouts,Snouts,No,No,,Get Snouts Out The Trough. EC ID PP609,Renamed - Get Snouts Out The Trough,AB
29,Scottish National Party,SNP,SNP,Yes,No,,,No change,-
33,Socialist,Soc,,Yes,Yes,192,Used for a mix - Socialist Party of Great Britain; Scottish Socialist,deleted,PG
235,Something New,Something New,Something New,Yes,No,,,No change,-
276,Southampton Independents,Southampton Independents,Southampton Independents,Yes,No,,,No change,-
273,Southend Independent Association,Southend Independent Association,Southend Independent Association,Yes,No,,,No change,-
229,Southport Party,Southport Party,Southport Party,No,No,,,No change,-
266,Space Navies Party,Space Navies Party,Space Navies Party,Yes,No,,,No change,-
47,Speaker,Spk,,No,No,,,No change,-
150,SSP,SSP,SSP,Yes,Yes,33,Scottish Socialist Party,Changed to Scottish Socialist Party,PG
151,Tasmin,Tasmin,Tasmin,No,No,,Tamsin Omond to the Commons,Renamed - Tamsin Omond to the Commons,AB
152,Tendring,Tendring,Tendring,No,No,,Tendring First. EC ID PP661,Renamed - Tendring First,AB
191,The 30-50 Coalition,The 30-50 Coalition,The 30-50 Coalition,No,No,,,No change,-
206,The Above and Beyond Party,The Above and Beyond Party,The Above and Beyond Party,Yes,No,,,No change,-
1033,The Best for Luton Party,The Best for Luton Party,The Best for Luton Party,Yes,No,,,No change,-
225,The Birthday Party,The Birthday Party,The Birthday Party,No,No,,,No change,-
1030,The Citizens Movement Party UK,The Citizens Movement Party UK,The Citizens Movement Party UK,Yes,No,,,No change,-
1029,The Common People,The Common People,The Common People,Yes,No,,,No change,-
1012,The Constitution and Reform Party,The Constitution and Reform Party,The Constitution and Reform Party,No,No,,,No change,-
1023,The Cynon Valley Party,The Cynon Valley Party,The Cynon Valley Party,Yes,No,,,No change,-
254,The Democratic Party,The Democratic Party,The Democratic Party,Yes,No,,,No change,-
198,The Eccentric Party of Great Britain,The Eccentric Party of Great Britain,The Eccentric Party of Great Britain,Yes,No,,,No change,-
216,The Evolution Party,The Evolution Party,The Evolution Party,Yes,No,,,No change,-
280,The Just Political Party,The Just Political Party,The Just Political Party,Yes,No,,,No change,-
265,The Justice & Anti-Corruption Party,The Justice & Anti-Corruption Party,The Justice & Anti-Corruption Party,No,Yes,105,,kept,PG
1038,The North East Party,The North East Party,The North East Party,Yes,Yes,213,,kept,PG
180,The Northern Party,The Northern Party,The Northern Party,Yes,No,,,No change,-
238,The Party for Poole People Ltd.,The Party for Poole People Ltd.,The Party for Poole People Ltd.,Yes,No,,,No change,-
1044,The Party Party,The Party Party,The Party Party,No,No,,,No change,-
175,The Pilgrim Party,The Pilgrim Party,The Pilgrim Party,Yes,No,,,No change,-
223,The Pluralist Party,The Pluralist Party,The Pluralist Party,No,No,,,No change,-
224,The Principles of Politics Party,The Principles of Politics Party,The Principles of Politics Party,Yes,No,,,No change,-
279,The Radical Party,The Radical Party,The Radical Party,Yes,No,,,No change,-
199,The Realists' Party,The Realists' Party,The Realists' Party,No,No,,,No change,-
1043,The Reclaim Party,The Reclaim Party,The Reclaim Party,No,No,,,No change,-
184,The Republican Socialist Party,The Republican Socialist Party,The Republican Socialist Party,Yes,No,,,No change,-
230,The Roman Party. Ave,The Roman Party. Ave,The Roman Party. Ave,No,No,,,No change,-
192,The Socialist Party of Great Britain,The Socialist Party of Great Britain,The Socialist Party of Great Britain,Yes,Yes,33,,kept,PG
239,The Sustainable Population Party,The Sustainable Population Party,The Sustainable Population Party,No,No,,,No change,-
244,The UK Progressive Democracy Party,The UK Progressive Democracy Party,The UK Progressive Democracy Party,No,No,,,No change,-
185,The Whig Party,The Whig Party,The Whig Party,Yes,No,,,No change,-
262,The Yorkshire Party,The Yorkshire Party,The Yorkshire Party,No,No ,,Previously known as Yorkshire First,No change,-
153,TISP,TISP,TISP,Yes,No,,The Independent Socialist Party,Renamed - The Independent Socialist Party,AB
