id,Reference
674,RP97/23
675,RP97/19
676,RP97/16
677,RP97/18
678,RP97/15
679,RP97/14
680,RP97/17
681,RP95/121
682,RP95/120
683,RP95/119
684,RP95/117
685,RP95/118
686,RP95/116
687,RP95/115
688,RP95/114
689,RP95/113
690,RP95/112
691,RP95/111
692,RP95/110
693,RP95/109
694,RP95/106
695,RP95/107
696,RP95/108
697,RP95/105
698,RP95/104
699,RP95/103
700,RP95/102
701,RP95/101
702,RP95/98
703,RP95/99
704,RP95/100
705,RP95/97
706,RP95/95
707,RP95/96
708,RP95/94
709,RP95/93
710,RP95/92
711,RP95/91
712,RP95/90
713,RP95/89
714,RP95/86
715,RP95/87
716,RP95/88
717,RP95/85
718,RP95/84
719,RP95/83
720,RP95/82
721,RP95/81
722,RP95/80
723,RP95/79
724,RP95/78
725,RP95/77
726,RP95/76
727,RP95/75
728,RP95/73
729,RP95/74
730,RP95/72
731,RP95/71
732,RP95/70
733,RP95/68
734,RP95/69
735,RP95/66
736,RP95/67
737,RP95/65
738,RP95/64
739,RP95/63
740,RP95/61
741,RP95/62
742,RP95/60
743,RP95/58
744,RP95/59
745,RP95/56
746,RP95/54
747,RP95/55
748,RP95/53
749,RP95/52
750,RP95/46
751,RP95/51
752,RP95/47
753,RP95/48
754,RP95/50
755,RP95/49
756,RP95/45
757,RP95/57
758,RP95/44
759,RP95/42
760,RP95/43
761,RP95/41
762,RP95/40
763,RP95/39
764,RP95/37
765,RP95/34
766,RP95/36
767,RP95/35
768,RP95/38
769,RP95/33
770,RP95/31
771,RP95/32
772,RP95/30
773,RP95/29
774,RP95/28
775,RP95/27
776,RP95/24
777,RP95/25
778,RP95/26
779,RP95/23
780,RP95/22
781,RP10/38
782,RP10/39
783,RP10/40
784,RP10/41
785,RP10/42
786,RP10/43
787,RP10/45
788,RP10/44
789,RP10/46
790,RP10/47
791,RP10/48
792,RP10/49
793,RP10/51
794,RP10/52
795,RP10/53
796,RP10/54
797,RP10/55
798,RP10/56
799,RP10/57
800,RP10/58
801,RP10/59
802,RP10/61
803,RP10/60
804,RP10/62
805,RP10/64
806,RP10/63
807,RP10/65
808,RP10/66
809,RP10/67
810,RP10/68
811,RP10/69
812,RP10/70
813,RP10/71
814,RP10/72
815,RP10/73
816,RP10/76
817,RP10/75
818,RP10/74
819,RP10/77
820,RP10/78
821,RP10/79
822,RP10/80
823,RP10/81
824,RP10/82
825,RP10/83
826,RP10/84
827,RP10/85
828,RP11/01
829,RP11/02
830,RP11/04
831,RP11/03
832,RP11/05
833,RP11/06
834,RP11/07
835,RP11/08
836,RP11/09
837,RP11/10
838,RP11/11
839,RP11/12
840,RP11/13
841,RP11/14
842,RP11/15
843,RP11/17
844,RP11/16
845,RP11/18
846,RP11/19
847,RP11/20
848,RP11/21
849,RP11/23
850,RP11/24
851,RP11/25
852,RP11/26
853,RP11/27
854,RP11/28
855,RP11/29
856,RP11/31
857,RP11/32
858,RP11/33
859,RP11/34
860,RP11/35
861,RP11/36
862,RP11/37
863,RP11/38
864,RP11/39
865,RP05/15
866,RP05/14
867,RP05/12
868,RP05/11
869,RP05/10
870,RP05/09
871,RP05/08
872,RP05/06
873,RP05/07
874,RP05/05
875,RP05/03
876,RP05/04
877,RP05/02
878,RP05/01
879,RP04/94
880,RP04/93
881,RP04/92
882,RP04/91
883,RP04/90
884,RP04/88
885,RP04/89
886,RP04/87
887,RP04/86
888,RP04/85
889,RP04/84
890,RP04/83
891,RP04/81
892,RP04/82
893,RP04/80
894,RP04/79
895,RP04/78
896,RP04/77
897,RP04/76
898,RP04/74
899,RP04/75
900,RP04/73
901,RP04/71
902,RP04/72
903,RP04/69
904,RP04/70
905,RP04/68
906,RP04/65
907,RP04/64
908,RP04/67
909,RP04/66
910,RP04/63
911,RP04/62
912,RP04/61
913,RP04/60
914,RP04/59
915,RP04/58
916,RP04/57
917,RP04/56
918,RP04/55
919,RP04/54
920,RP04/52
921,RP04/51
922,RP04/50
923,RP04/47
924,RP04/46
925,RP04/45
926,RP04/43
927,RP04/44
928,RP04/42
929,RP04/41
930,RP04/40
931,RP04/39
932,RP04/36
933,RP04/37
934,RP04/35
935,RP04/38
936,RP04/53
937,RP04/34
938,RP04/33
939,RP04/32
940,RP04/31
941,RP04/30
942,RP04/29
943,RP04/28
944,RP04/27
945,RP04/26
946,RP04/25
947,RP04/24
948,RP04/22
949,RP04/23
950,RP04/21
951,RP04/20
952,RP04/19
953,RP04/17
954,RP04/18
955,RP04/16
956,RP04/15
957,RP04/14
958,RP04/12
959,RP04/13
960,RP04/11
961,RP04/01
962,RP04/10
963,RP04/09
964,RP04/08
965,RP04/07
966,RP04/06
967,RP04/04
968,RP04/05
969,RP04/03
970,RP04/02
971,RP03/92
972,RP03/93
973,RP03/94
974,RP03/91
975,RP03/90
976,RP03/89
977,RP03/88
978,RP03/87
979,RP03/86
980,RP03/85
981,RP03/84
982,RP03/83
983,RP03/82
984,RP03/81
985,RP03/80
986,RP03/79
987,RP03/77
988,RP03/76
989,RP03/75
990,RP03/73
991,RP03/74
992,RP03/72
993,RP03/69
994,RP03/71
995,RP03/70
996,RP03/68
997,RP03/67
998,RP03/66
999,RP03/65
1000,RP03/63
1001,RP03/64
1002,RP03/61
1003,RP03/62
1004,RP03/60
1005,RP03/58
1006,RP03/57
1007,RP03/59
1008,RP03/56
1009,RP03/55
1010,RP03/54
1011,RP03/52
1012,RP03/53
1013,RP03/51
1014,RP03/50
1015,RP03/49
1016,RP03/48
1017,RP03/47
1018,RP03/45
1019,RP03/46
1020,RP03/44
1021,RP03/43
1022,RP03/42
1023,RP03/40
1024,RP03/37
1025,RP03/41
1026,RP03/39
1027,RP03/38
1028,RP03/36
1029,RP03/35
1030,RP03/34
1031,RP03/33
1032,RP03/31
1033,RP03/30
1034,RP03/29
1035,RP03/28
1036,RP03/26
1037,RP03/27
1038,RP03/24
1039,RP03/25
1040,RP03/23
1041,RP03/20
1042,RP03/22
1043,RP03/21
1044,RP03/19
1045,RP03/18
1046,RP03/17
1047,RP03/16
1048,RP03/15
1049,RP03/14
1050,RP03/13
1051,RP03/12
1052,RP03/11
1053,RP03/10
1054,RP03/09
1055,RP03/08
1056,RP03/06
1057,RP03/07
1058,RP03/04
1059,RP03/05
1060,RP03/03
1061,RP03/02
1062,RP03/01
1063,RP02/83
1064,RP02/82
1065,RP02/81
1066,RP02/80
1067,RP02/79
1068,RP02/77
1069,RP02/78
1070,RP02/76
1071,RP02/75
1072,RP02/71
1073,RP02/74
1074,RP02/73
1075,RP02/72
1076,RP02/70
1077,RP02/69
1078,RP02/68
1079,RP02/67
1080,RP02/66
1081,RP02/62
1082,RP02/63
1083,RP02/65
1084,RP02/64
1085,RP02/61
1086,RP02/60
1087,RP02/59
1088,RP02/58
1089,RP02/57
1090,RP02/56
1091,RP02/55
1092,RP02/54
1093,RP02/53
1094,RP02/51
1095,RP02/50
1096,RP02/49
1097,RP02/48
1098,RP02/47
1099,RP02/46
1100,RP02/45
1101,RP02/44
1102,RP02/43
1103,RP02/42
1104,RP02/41
1105,RP02/40
1106,RP02/39
1107,RP02/38
1108,RP02/37
1109,RP02/36
1110,RP02/35
1111,RP02/33
1112,RP02/34
1113,RP02/32
1114,RP02/30
1115,RP02/31
1116,RP02/29
1117,RP02/26
1118,RP02/27
1119,RP02/28
1120,RP02/25
1121,RP02/24
1122,RP02/22
1123,RP02/20
1124,RP02/21
1125,RP03/32
1126,RP02/19
1127,RP02/18
1128,RP02/17
1129,RP02/16
1130,RP02/23
1131,RP02/15
1132,RP02/14
1133,RP02/13
1134,RP02/12
1135,RP02/11
1136,RP02/10
1137,RP02/09
1138,RP02/08
1139,RP02/07
1140,RP02/05
1141,RP02/06
1142,RP02/04
1143,RP02/03
1144,RP02/01
1145,RP02/02
1146,RP01/118
1147,RP01/117
1148,RP01/114
1149,RP01/115
1150,RP01/116
1151,RP01/113
1152,RP01/111
1153,RP01/112
1154,RP01/110
1155,RP01/109
1156,RP01/108
1157,RP01/107
1158,RP01/106
1159,RP01/105
1160,RP01/104
1161,RP01/103
1162,RP01/102
1163,RP01/97
1164,RP01/100
1165,RP01/99
1166,RP01/98
1167,RP01/101
1168,RP01/96
1169,RP01/92
1170,RP01/94
1171,RP01/93
1172,RP01/95
1173,RP01/91
1174,RP01/90
1175,RP01/89
1176,RP01/88
1177,RP01/87
1178,RP01/86
1179,RP01/82
1180,RP01/83
1181,RP95/21
1182,RP95/20
1183,RP95/19
1184,RP95/17
1185,RP95/16
1186,RP95/14
1187,RP95/13
1188,RP95/15
1189,RP95/12
1190,RP95/11
1191,RP95/10
1192,RP95/9
1193,RP95/8
1194,RP95/6
1195,RP95/7
1196,RP95/5
1197,RP95/2
1198,RP95/3
1199,RP95/4
1200,RP95/18
1201,RP95/1
1202,RP94/133
1203,RP94/131
1204,RP94/132
1205,RP94/129
1206,RP94/130
1207,RP94/128
1208,RP94/127
1209,RP94/126
1210,RP94/123
1211,RP94/125
1212,RP94/124
1213,RP94/121
1214,RP94/122
1215,RP94/120
1216,RP94/119
1217,RP94/117
1218,RP94/118
1219,RP94/116
1220,RP94/115
1221,RP94/114
1222,RP94/113
1223,RP94/111
1224,RP94/110
1225,RP94/109
1226,RP94/108
1227,RP94/107
1228,RP94/106
1229,RP94/103
1230,RP94/101
1231,RP94/102
1232,RP94/105
1233,RP94/104
1234,RP94/100
1235,RP94/99
1236,RP94/98
1237,RP94/112
1238,RP94/97
1239,RP94/96
1240,RP94/95
1241,RP94/94
1242,RP94/93
1243,RP94/90
1244,RP94/92
1245,RP94/91
1246,RP94/89
1247,RP94/88
1248,RP94/86
1249,RP94/87
1250,RP94/84
1251,RP94/85
1252,RP94/83
1253,RP94/82
1254,RP94/81
1255,RP94/80
1256,RP94/77
1257,RP94/78
1258,RP94/79
1259,RP94/76
1260,RP94/75
1261,RP94/74
1262,RP94/73
1263,RP94/72
1264,RP94/71
1265,RP94/70
1266,RP94/69
1267,RP94/68
1268,RP94/67
1269,RP94/66
1270,RP94/65
1271,RP94/64
1272,RP94/61
1273,RP94/63
1274,RP94/62
1275,RP94/60
1276,RP94/59
1277,RP94/58
1278,RP94/56
1279,RP94/57
1280,RP94/55
1281,RP94/54
1282,RP94/53
1283,RP94/52
1284,RP94/50
1285,RP94/51
1286,RP94/49
1287,RP94/48
1288,RP94/46
1289,RP94/47
1290,RP94/45
1291,RP94/43
1292,RP94/41
1293,RP94/44
1294,RP94/42
1295,RP94/40
1296,RP94/39
1297,RP94/38
1298,RP94/37
1299,RP94/36
1300,RP94/34
1301,RP94/33
1302,RP94/32
1303,RP94/30
1304,RP94/24
1305,RP94/29
1306,RP94/28
1307,RP94/27
1308,RP94/25
1309,RP94/26
1310,RP94/23
1311,RP94/22
1312,RP94/21
1313,RP94/18
1314,RP94/19
1315,RP94/17
1316,RP94/20
1317,RP94/16
1318,RP94/15
1319,RP94/14
1320,RP94/35
1321,RP94/12
1322,RP94/13
1323,RP94/5
1324,RP94/8
1325,RP94/10
1326,RP94/11
1327,RP94/7
1328,RP94/6
1329,RP94/9
1330,RP94/2
1331,RP94/4
1332,RP94/3
1333,RP94/1
1334,RP93/122
1335,RP93/121
1336,RP93/120
1337,RP93/119
1338,RP93/118
1339,RP93/117
1340,RP93/115
1341,RP93/116
1342,RP93/113
1343,RP93/114
1344,RP93/112
1345,RP93/111
1346,RP93/110
1347,RP93/109
1348,RP93/108
1349,RP93/106
1350,RP93/107
1351,RP93/105
1352,RP93/104
1353,RP93/103
1354,RP93/101
1355,RP93/102
1356,RP93/100
1357,RP93/99
1358,RP93/98
1359,RP93/97
1360,RP93/95
1361,RP93/94
1362,RP93/96
1363,RP93/93
1364,RP93/91
1365,RP93/92
1366,RP93/90
1367,RP93/89
1368,RP93/88
1369,RP93/87
1370,RP93/86
1371,RP93/85
1372,RP93/84
1373,RP93/83
1374,RP93/82
1375,RP93/79
1376,RP93/81
1377,RP93/80
1378,RP93/78
1379,RP93/77
1380,RP93/76
1381,RP93/73
1382,RP93/75
1383,RP93/74
1384,RP93/71
1385,RP93/72
1386,RP93/70
1387,RP93/69
1388,RP93/68
1389,RP93/67
1390,RP93/66
1391,RP93/65
1392,RP93/64
1393,RP93/63
1394,RP93/62
1395,RP93/61
1396,RP93/60
1397,RP93/58
1398,RP93/59
1399,RP93/57
1400,RP93/56
1401,RP93/55
1402,RP93/54
1403,RP93/53
1404,RP93/52
1405,RP93/50
1406,RP93/51
1407,RP93/49
1408,RP93/44
1409,RP93/45
1410,RP93/43
1411,RP93/46
1412,RP93/41
1413,RP93/48
1414,RP93/47
1415,RP93/39
1416,RP93/38
1417,RP93/40
1418,RP93/37
1419,RP93/36
1420,RP93/35
1421,RP93/34
1422,RP93/33
1423,RP93/32
1424,RP93/31
1425,RP93/30
1426,RP93/42
1427,RP93/29
1428,RP93/28
1429,RP93/27
1430,RP93/26
1431,RP93/25
1432,RP93/24
1433,RP93/23
1434,RP93/22
1435,RP93/21
1436,RP93/20
1437,RP93/19
1438,RP93/18
1439,RP93/17
1440,RP93/15
1441,RP93/16
1442,RP93/14
1443,RP93/13
1444,RP93/12
1445,RP93/10
1446,RP93/11
1447,RP93/9
1448,RP93/8
1449,RP93/7
1450,RP93/4
1451,RP93/6
1452,RP93/5
1453,RP93/3
1454,RP93/2
1455,RP93/1
1456,RP05/16
1457,RP05/19
1458,RP05/17
1459,RP05/18
1460,RP05/13
1461,RP05/23
1462,RP05/22
1463,RP05/21
1464,RP05/20
1465,RP05/25
1466,RP05/26
1467,RP05/24
1468,RP05/27
1469,RP05/28
1470,RP05/29
1471,RP05/30
1472,RP05/31
1473,RP05/34
1474,RP05/33
1475,RP03/78
1476,RP05/37
1477,RP05/36
1478,RP05/38
1479,RP05/39
1480,RP05/40
1481,RP05/41
1482,RP05/43
1483,RP05/45
1484,RP05/32
1485,RP05/44
1486,RP05/42
1487,RP05/46
1488,RP05/47
1489,RP05/49
1490,RP05/48
1491,RP05/52
1492,RP05/53
1493,RP05/50
1494,RP05/51
1495,RP05/54
1496,RP05/55
1497,RP05/56
1498,RP05/57
1499,RP05/58
1500,RP02/52
1501,RP05/59
1502,RP05/60
1503,RP05/61
1504,RP05/62
1505,RP05/64
1506,RP05/65
1507,RP05/66
1508,RP05/68
1509,RP05/70
1510,RP05/71
1511,RP05/72
1512,RP05/69
1513,RP05/74
1514,RP05/73
1515,RP05/67
1516,RP05/76
1517,RP05/77
1518,RP05/78
1519,RP05/75
1520,RP05/79
1521,RP05/81
1522,RP05/80
1523,RP05/83
1524,RP05/84
1525,RP05/85
1526,RP05/82
1527,RP05/86
1528,RP05/88
1529,RP05/87
1530,RP05/89
1531,RP05/90
1532,RP05/91
1533,RP05/92
1534,RP06/01
1535,RP06/02
1536,RP06/03
1537,RP06/04
1538,RP06/05
1539,RP06/06
1540,RP06/07
1541,RP06/08
1542,RP05/93
1543,RP06/09
1544,RP06/10
1545,RP06/12
1546,RP06/14
1547,RP06/15
1548,RP06/11
1549,RP06/13
1550,RP06/16
1551,RP06/18
1552,RP06/17
1553,RP06/19
1554,RP06/20
1555,RP06/21
1556,RP06/23
1557,RP06/24
1558,RP06/25
1559,RP06/22
1560,RP06/26
1561,RP06/27
1562,RP06/28
1563,RP06/29
1564,RP06/30
1565,RP06/31
1566,RP06/32
1567,RP06/33
1568,RP06/34
1569,RP06/36
1570,RP06/35
1571,RP06/37
1572,RP06/38
1573,RP06/39
1574,RP06/40
1575,RP06/41
1576,RP06/42
1577,RP06/43
1578,RP06/45
1579,RP06/44
1580,RP06/46
1581,RP06/47
1582,RP06/48
1583,RP06/50
1584,RP06/51
1585,RP06/52
1586,RP06/53
1587,RP06/54
1588,RP06/55
1589,RP06/56
1590,RP06/57
1591,RP06/59
1592,RP06/60
1593,RP06/61
1594,RP06/62
1595,RP06/63
1596,RP06/58
1597,RP06/64
1598,RP06/65
1599,RP06/66
1600,RP07/03
1601,RP07/01
1602,RP07/04
1603,RP07/02
1604,RP07/05
1605,RP07/06
1606,RP07/07
1607,RP07/08
1608,RP07/09
1609,RP07/10
1610,RP07/11
1611,RP07/12
1612,RP07/13
1613,RP07/14
1614,RP07/17
1615,RP07/16
1616,RP07/15
1617,RP07/20
1618,RP07/22
1619,RP07/23
1620,RP07/24
1621,RP07/26
1622,RP07/30
1623,RP07/31
1624,RP07/29
1625,RP07/28
1626,RP07/27
1627,RP07/32
1628,RP07/34
1629,RP07/25
1630,RP07/35
1631,RP07/21
1632,RP07/19
1633,RP07/36
1634,RP07/37
1635,RP07/33
1636,RP07/38
1637,RP07/39
1638,RP07/40
1639,RP07/41
1640,RP07/43
1641,RP07/44
1642,RP07/42
1643,RP07/48
1644,RP07/49
1645,RP07/50
1646,RP07/46
1647,RP07/51
1648,RP07/52
1649,RP07/54
1650,RP07/53
1651,RP07/55
1652,RP07/56
1653,RP07/57
1654,RP07/58
1655,RP07/59
1656,RP07/60
1657,RP07/61
1658,RP07/62
1659,RP07/63
1660,RP07/47
1661,RP07/64
1662,RP07/65
1663,RP07/66
1664,RP07/67
1665,RP07/68
