procedure,from_step,to_step
Treaties subject to the Constitutional Reform and Governance Act 2010,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords AH
Treaties subject to the Constitutional Reform and Governance Act 2010,No comment by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords AH
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AH,Treaty Lords AI
Treaties subject to the Constitutional Reform and Governance Act 2010,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords AI
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AI,Treaty Lords AV
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AV,Further information published by the Secondary Legislation Scrutiny Committee (SLSC)
UK Public Bills,Fatal amendment to legislative consent motion not called,SP AK
UK Public Bills,SP AK,SP AJ
UK Public Bills,Fatal amendment to legislative consent motion not moved,SP AJ
UK Public Bills,SP AJ,SP AI
UK Public Bills,Fatal amendment to legislative consent motion falls at dissolution,SP AI
UK Public Bills,SP AI,SP AH
UK Public Bills,Fatal amendment to legislative consent motion withdrawn,SP AH
UK Public Bills,SP AH,SP AD
UK Public Bills,Question put on fatal amendment to legislative consent motion,SP AE
UK Public Bills,SP AE,SP AP
UK Public Bills,SP AP,SP AF
Legislative Reform Order,LROLCC AA,LROLCC AA
Legislative Reform Order,LROLCC AA,LROLCC AA
Legislative Reform Order,LROLCC AA,LROLCC AB
Legislative Reform Order,LROLCC AA,LROLCC AC
Legislative Reform Order,LROLCC AA,LROLCC AH
Legislative Reform Order,LROLCC AB,No concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC)
Legislative Reform Order,No concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC),LROLCC AA
Legislative Reform Order,LROLCC AC,Concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC)
Legislative Reform Order,Concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC),LROLCC AB
Legislative Reform Order,LROLCC AD,Delegated Powers and Regulatory Reform Committee (DPRRC) reports that the instrument is not appropriate to be made
Legislative Reform Order,Delegated Powers and Regulatory Reform Committee (DPRRC) reports that the instrument is not appropriate to be made,LROLCC AB
Legislative Reform Order,LROLCC AB,LROLCC AA
Legislative Reform Order,LROLCC AA,LROLCC AA
Legislative Reform Order,Delegated Powers and Regulatory Reform Committee (DPRRC) reports that the instrument is not appropriate to be made,LROLCC AA
Legislative Reform Order,Delegated Powers and Regulatory Reform Committee (DPRRC) reports that the instrument is not appropriate to be made,LROLCC AG
Legislative Reform Order,LROLCC AA,LROLCC AB
Legislative Reform Order,LRO BL,LROLCC AB
Legislative Reform Order,Procedure considered by the Delegated Powers and Regulatory Reform Committee (DPRRC),LROLPD AA
Legislative Reform Order,Procedure considered by the Delegated Powers and Regulatory Reform Committee (DPRRC),LROLPD AA
Legislative Reform Order,LROLPD AA,Government response to procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC)
Legislative Reform Order,Procedure considered by the Delegated Powers and Regulatory Reform Committee (DPRRC),LROLPD AN
Legislative Reform Order,LROLPD AN,Further information published by the Delegated Powers and Regulatory Reform Committee (DPRRC)
Legislative Reform Order,Procedure considered by the Delegated Powers and Regulatory Reform Committee (DPRRC),LROLPD AA
Legislative Reform Order,LROLPD AA,LROLPD AA
Legislative Reform Order,LROLCC AA,Government response to decision by the Delegated Powers and Regulatory Reform Committee (DPRRC)
Legislative Reform Order,House resolves in favour of committee procedure recommendation,LROLPD AI
Legislative Reform Order,LROLPD AI,LROLPD AC
Legislative Reform Order,House resolves against committee procedure recommendation,LROLPD AG
Legislative Reform Order,LROLPD AG,LROLPD AJ
Legislative Reform Order,LROLPD AF,LROLPD AH
Legislative Reform Order,Procedure determination period ends,LROLPD AL
Legislative Reform Order,LROCPD AE,LROCPD AJ
Legislative Reform Order,LROCPD AJ,LROCPD AD
Legislative Reform Order,LROCPD AD,LROCPD AK
Legislative Reform Order,LROCPD AJ,LROCPD AW
Legislative Reform Order,LROCPD AS,Debate on motion to disagree with the procedure recommendation made by the Commons committee
Legislative Reform Order,LROCPD AJ,LROCPD AM
Legislative Reform Order,LROCPD AJ,LROCPD AL
Legislative Reform Order,LROCPD AJ,LROCPD AN
Legislative Reform Order,LROCPD AJ,LROCPD AO
Legislative Reform Order,LROCPD AJ,LROCPD AX
Legislative Reform Order,LROCPD AP,Question put on motion to disagree with the procedure recommendation made by the Commons committee
Legislative Reform Order,Question put on motion to disagree with the procedure recommendation made by the Commons committee,LROCPD AL
Legislative Reform Order,LROCPD AO,Motion to disagree with the procedure recommendation made by the Commons committee not called
Legislative Reform Order,Motion to disagree with the procedure recommendation made by the Commons committee not called,LROCPD AL
Legislative Reform Order,LROCPD AL,LROCPD AK
Legislative Reform Order,LROCPD AN,Motion to disagree with the procedure recommendation made by the Commons committee not moved
Legislative Reform Order,Motion to disagree with the procedure recommendation made by the Commons committee not moved,LROCPD AK
Legislative Reform Order,LROCPD AK,LROCPD AJ
Legislative Reform Order,LROCPD AM,Motion to disagree with the procedure recommendation made by the Commons committee lapsed at the end of the session
Legislative Reform Order,Motion to disagree with the procedure recommendation made by the Commons committee lapsed at the end of the session,LROCPD AJ
Legislative Reform Order,LROCPD AJ,LROCPD AI
Legislative Reform Order,LROCPD AL,LROCPD AY
Legislative Reform Order,Motion to disagree with the procedure recommendation made by the Commons committee withdrawn,LROCPD AI
Legislative Reform Order,LROCPD AI,LROCPD AC
Legislative Reform Order,Question put on motion to disagree with the procedure recommendation made by the Commons committee,LROCPD AD
Legislative Reform Order,LRONEG AN,LRONEG AO
Legislative Reform Order,LRONEG AO,LRONEG AR
Legislative Reform Order,LRONEG AR,Motion (prayer) to stop the instrument becoming law approved
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law approved,LRONEG AF
Legislative Reform Order,LRONEG AF,LRONEG AO
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law approved,LRONEG AJ
Legislative Reform Order,LRONEG AJ,LRONEG AD
Legislative Reform Order,LROCPD AL,LROCPD AT
Legislative Reform Order,LROCPD AT,Decision on a motion to disagree with the procedure recommendation made by the Commons committee deferred
Legislative Reform Order,LRO AZ,LROAFF AH
Legislative Reform Order,LROAFF AH,LROAFF AJ
Legislative Reform Order,LROAFF AJ,LROAFF AO
Legislative Reform Order,LRO AY,LROAFF AO
Legislative Reform Order,LROAFF AO,LROAFF AP
Legislative Reform Order,LROAFF AK,LROAFF AP
Legislative Reform Order,LROAFF AP,LROAFF AQ
Legislative Reform Order,Motion to stop the instrument becoming law approved,LROAFF AK
Legislative Reform Order,LROAFF AK,LROAFF AQ
Legislative Reform Order,LROAFF AQ,LROAFF AL
Legislative Reform Order,LROAFF AL,Question on motion to approve the instrument put
Legislative Reform Order,Question on motion to approve the instrument put,LROAFF AD
Legislative Reform Order,LROAFF AD,LROAFF AL
Legislative Reform Order,LROAFF AL,LROAFF AI
Legislative Reform Order,LROLPD AQ,LROLPD AM
Legislative Reform Order,LRO BG,LROLPD AQ
Legislative Reform Order,LROLPD AR,LROLPD AF
Legislative Reform Order,LRO BG,LROLPD AR
Legislative Reform Order,LROLPD AS,LROLPD AO
Legislative Reform Order,LRO BG,LROLPD AS
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY IAC+EAC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AO,Oral evidence session by the International Agreements Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY ITC AM
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AM,Oral evidence session by the International Trade Committee (ITC)
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY ITC AR
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AR,TREATY ITC AN
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AN,Call for evidence opened by the International Trade Committee (ITC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Call for evidence opened by the International Trade Committee (ITC),TREATY ITC AQ
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY NIAC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY NIAC AA,Oral evidence session by the Northern Ireland Affairs Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY NIAC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY NIAC AA,TREATY NIAC AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY NIAC AB,Northern Ireland Affairs Committee inquiry opened
Treaties subject to the Constitutional Reform and Governance Act 2010,Northern Ireland Affairs Committee inquiry opened,TREATY NIAC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY NIAC AA,TREATY NIAC AA
Legislative Reform Order,LRO BN,LROCCC AC
Legislative Reform Order,LROAFF AM,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AB
Legislative Reform Order,LRO BH,LROCCC AB
Legislative Reform Order,LROCCC AB,LROCCC AL
Legislative Reform Order,Procedure determination period ends,LROCCC AL
Legislative Reform Order,LROCCC AL,LROCCC AI
Legislative Reform Order,LROCCC AJ,LROCCC AD
Legislative Reform Order,LROCCC AK,LROCCC AP
Legislative Reform Order,LROCCC AI,LROCCC AJ
Legislative Reform Order,LROCPD AI,LROCPD BA
Legislative Reform Order,Procedure determination period ends,LROCPD BA
Legislative Reform Order,LROCPD BA,LROCPD AM
Legislative Reform Order,LROCPD AN,LROCPD AK
Legislative Reform Order,LROCPD AO,LROCPD AJ
Legislative Reform Order,LROCPD AP,LROCPD AT
Legislative Reform Order,LROCPD AQ,LROCPD AO
Legislative Reform Order,LROCPD AR,LROCPD AO
Legislative Reform Order,LROCPD AO,LROCPD AM
Legislative Reform Order,Super-affirmative pre-approval period ends,LROAFF AV
Legislative Reform Order,Super-affirmative pre-approval period ends,LROAFF AW
Legislative Reform Order,Ministerial statement summarising representations on the draft order,LROAFF AP
Legislative Reform Order,LROAFF AP,LROAFF AV
Legislative Reform Order,LROAFF AW,Ministerial statement summarising representations on the draft order
Legislative Reform Order,Ministerial statement summarising representations on the draft order,LROAFF AQ
Legislative Reform Order,LROAFF AQ,LROAFF AW
Legislative Reform Order,Ministerial statement summarising representations on the draft order,LROAFF AX
Legislative Reform Order,LROAFF AX,LROAFF AM
Legislative Reform Order,LROLCC AH,LROLCC AD
Legislative Reform Order,LROLCC AI,LROLCC AH
Legislative Reform Order,LROLCC AA,LROLCC AI
Legislative Reform Order,LRO BH,LROLCC AA
Legislative Reform Order,LRO BN,LROLCC AB
Legislative Reform Order,Procedure determination period ends,LROLCC AI
Legislative Reform Order,LROAFF AN,LROLCC AB
Legislative Reform Order,LROLCC AB,LROLCC AA
Legislative Reform Order,House resolves against committee procedure recommendation,LROLPD AK
Legislative Reform Order,House resolves in favour of committee procedure recommendation,LROLPD AK
Legislative Reform Order,LROLPD AK,LROLPD AH
Legislative Reform Order,LROLPD AH,LROLPD AT
Legislative Reform Order,LROLPD AT,LROLPD AG
Legislative Reform Order,LROLPD AG,LROLPD AL
Legislative Reform Order,House resolves in favour of committee procedure recommendation,LROLPD AL
Legislative Reform Order,LROLPD AL,LROLPD AH
Legislative Reform Order,Procedure determination period ends,LROLPD AT
Legislative Reform Order,LROLPD AL,LROLPD AI
Legislative Reform Order,LROLPD AJ,LROLPD AF
Legislative Reform Order,LROLPD AH,LROLPD AK
Legislative Reform Order,LROLPD AK,LROLPD AI
Legislative Reform Order,LROLPD AL,LROLPD AI
UK Public Bills,PL AA,10 working days expired
UK Public Bills,10 working days expired,NIA AA
UK Public Bills,PL AA,NIA AA
UK Public Bills,NIA AA,Memorandum laid by the Minister
UK Public Bills,PL AA,SC AA
UK Public Bills,SC AA,Written statement by the Welsh Government in response to proposed modifications to Ministerial functions
UK Public Bills,PL AA,SC AB
