id,procedure_treaty_name,treaty_number,treaty_prefix,triple_store_id,web_link
1167,"Agreement, done at Brussels on 30 June 2001, on the international occasional carriage of passengers by coach and bus (Interbus agreement); and, Decision No 1/2011 of the Joint Committee established under the Interbus Agreement on the international occasional carriage of passengers by coach and bus of 11 November 2011 adopting its rules of procedure and adapting Annex 1 to the Agreement regarding conditions applying to road passenger transport operators, Annex 2 to the Agreement concerning the technical standards applying to buses and coaches and the requirements concerning the social provisions referred to in Article 8 of the Agreement; and, the Protocol to the agreement on the international occasional carriage of passengers by coach and bus (Interbus Agreement) regarding the international regular and special regular carriage of passengers by coach and bus",9699,Cm.,wop7oLF8,https://www.gov.uk/government/publications/ms-no92018-interbus-agreement-with-protocol-and-decision
1168,"Agreement, done at Lanzarote on 25 October 2007, on the Protection of Children against Sexual Exploitation and Sexual Abuse",9602,Cm.,G1augFFT,https://www.gov.uk/government/publications/ms-no42018-council-of-europe-convention-on-the-protection-of-children-against-sexual-exploitation-and-sexual-abuse
1169,"Framework Agreement, done at Marrakesh on 15 November 2016, on the establishment of the International Solar Alliance",9672,Cm.,u7VIHSem,https://www.gov.uk/government/publications/ms-no82018-framework-agreement-on-the-establishment-of-the-international-solar-alliance
1170,"Agreement, done at Panama City on 25 July 2017, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Panama for the Establishment and Functioning of Private International Schools of Excellence in the Republic of Panama",9539,Cm.,48N94cRi,https://www.gov.uk/government/publications/cs-panama-no12017-ukpanama-agreement-for-the-establishment-and-functioning-of-private-international-schools-of-excellence
1171,"Strategic Partnership Agreement, done at Brussels on 30 October 2016, between the European Union and its Member States, of the one part, and Canada, of the other part",9586,Cm.,2NNnK23F,https://www.gov.uk/government/publications/eu-no32018-eucanada-strategic-partnership-agreement
1172,"Partnership Agreement, done at Brussels on 5 October 2016, between the European Union and its Member States, of the one part, and New Zealand, of the other part",9585,Cm.,JIgwcehD,https://www.gov.uk/government/publications/eu-no22018-eunew-zealand-partnership-agreement-on-relations-and-cooperation
1173,"Framework Agreement, done at Manila on 7 August 2017, between the European Union and its Member States, of the one part, and Australia, of the other part",9584,Cm.,YL4fYp6M,https://www.gov.uk/government/publications/eu-no12018-euaustralia-framework-agreement
1174,"Agreement, done at Davos on 25 January 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Swiss Federal Council on the International Carriage of Passengers and Goods by Road",5,CP,qNtdhZzu,https://www.gov.uk/government/publications/cs-switzerland-no12019-ukswitzerland-agreement-on-the-international-carriage-of-passengers-and-goods-by-road
1175,"Agreement, done at Davos on 25 January 2019, on Direct Insurance other than Life Insurance between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation",26,CP,UldxguaV,https://www.gov.uk/government/publications/cs-switzerland-no32019-ukswitzerland-agreement-on-direct-insurance-other-than-life-insurance-and-decision
1176,"Agreement, done at Washington on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on the Mutual Recognition of certain distilled Spirits/Spirit Drinks",34,CP,CPLFa7hl,https://www.gov.uk/government/publications/cs-usa-no22019-ukusa-agreement-on-the-mutual-recognition-of-certain-distilled-spiritsspirit-drinks
1177,"Agreement, done at Washington on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on Trade in Wine",36,CP,BIoTb0e1,https://www.gov.uk/government/publications/cs-usa-no32019-ukusa-agreement-on-trade-in-wine
1178,"Amendments to Protocol, done at Geneva on 4 May 2012, to Abate Acidification, Eutrophication and Ground-level Ozone",9616,Cm.,d9cNUmil,https://www.gov.uk/government/publications/ms-no62018-amendments-of-the-texts-and-annexes-to-the-1999-protocol-to-abate-acidification-eutrophication-and-ground-level-ozone
1179,"Convention, done at Interlaken on 20 May 1987, on the simplification of formalities in trade in goods",9748,Cm.,srABnuua,https://www.gov.uk/government/publications/ms-no152018-convention-on-the-simplification-of-formalities-in-trade-in-goods-and-council-decision
1180,"Protocol, done at Geneva 27 November 2014, amending the Marrakesh Agreement Establishing the World Trade Organization",11,CP,EQPupBCX,https://www.gov.uk/government/publications/ms-no12019-protocol-amending-the-marrakesh-agreement-establishing-the-world-trade-organization
1181,"Protocol, done at Geneva 6 Dec 2005, amending the TRIPS Agreement",10,CP,O80PNTU5,https://www.gov.uk/government/publications/ms-no32019-protocol-amending-the-trips-agreement
1182,"Convention, done at Ottawa on 24 November 1978, on Cooperation in the Northwest Atlantic Fisheries",47,CP,bGAmPULU,https://www.gov.uk/government/publications/ms-no112019-convention-on-cooperation-in-the-northwest-atlantic-fisheries
1183,"Convention, done at Reykjavik on 2 March 1982, for the Conservation of Salmon in the North Atlantic Ocean",44,CP,RhIBL81s,https://www.gov.uk/government/publications/ms-no72019-convention-for-the-conservation-of-salmon-in-the-north-atlantic-ocean
1184,"Agreement, done at Rome on 22 November 2009, on Port State Measures to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing",41,CP,iWHMMek5,https://www.gov.uk/government/publications/ms-no102019-agreement-on-port-state-measures-to-prevent-deter-and-eliminate-illegal-unreported-and-unregulated-fishing
1185,"Agreement, done at Rome on 24 November 1993, to Promote Compliance with International Conservation and Management Measures by Fishing Vessels on the High Seas",45,CP,dp7blsZX,https://www.gov.uk/government/publications/ms-no82019-agreement-to-promote-compliance-with-international-conservation-and-management-measures-by-fishing-vessels-on-the-high-seas
1186,"International Convention, done at Rio de Janeiro on 14 May 1966, on the Conservation of Atlantic Tunas",46,CP,YM7KMJke,https://www.gov.uk/government/publications/ms-no92019-convention-for-the-conservation-of-atlantic-tunas
1187,"Convention, done at London on 18 November 1980, on Future Multilateral Cooperation in North-East Atlantic Fisheries",43,CP,lY5WQXjv,https://www.gov.uk/government/publications/ms-no52019-convention-on-future-multilateral-cooperation-in-north-east-atlantic-fisheries
1188,"Agreement, done at Rome on 25 November 1993, on the Establishment of the Indian Ocean Tuna Commission",42,CP,WdV6MM35,https://www.gov.uk/government/publications/ms-no62019-agreement-for-the-establishment-of-the-indian-ocean-tuna-commission
1189,"Agreement, done at London on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Denmark in respect of Free Trade with the Faroe Islands",32,CP,J6vqV09f,https://www.gov.uk/government/publications/cs-denmark-no12019-ukdenmark-free-trade-agreement-in-respect-of-the-faroe-islands
1190,"Agreement, done at Santiago on 30 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Chile on Trade in Organic Products",33,CP,XI3w48RO,https://www.gov.uk/government/publications/cs-chile-no12019-ukchile-agreement-on-trade-in-organic-products
1191,"Agreement, done at Santiago on 30 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Chile on establishing an Association",35,CP,7bu3MxRK,https://www.gov.uk/government/publications/cs-chile-no22019-ukchile-agreement-establishing-an-association
1192,"Agreement, done at London on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Eastern and Southern Africa States on establishing an Economic Partnership Agreement",31,CP,s5Du59Ia,https://www.gov.uk/government/publications/ms-no42019-agreement-establishing-an-economic-partnership-agreement-between-the-eastern-and-southern-africa-states-and-the-uk
1193,"Agreement, done at London on 18 January 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Australia on Mutual Recognition in Relation to Conformity Assessment, Certificates and Markings",28,CP,B4LqYCUO,https://www.gov.uk/government/publications/cs-australia-no22019-ukaustralia-agreement-on-mutual-recognition-in-relation-to-conformity-assessment-certificates-and-markings
1194,"Agreement, done at London on 21 January 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of New Zealand on Mutual Recognition in Relation to Conformity Assessment",27,CP,qRMmW1Nq,https://www.gov.uk/government/publications/cs-new-zealand-no22019-uknew-zealand-agreement-on-mutual-recognition-in-relation-to-conformity-assessment
1195,"Agreement, done at Zurich on 17 December 2018, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation relating to Scheduled Air Services",25,CP,gdTlXD1z,https://www.gov.uk/government/publications/cs-switzerland-no22019-ukswitzerland-agreement-relating-to-scheduled-air-services
1196,Agreement on Trade in Wine between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Australia,8,CP,VNohtfgZ,https://www.gov.uk/government/publications/cs-australia-no12019-ukaustralia-agreement-on-trade-in-wine
1197,Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of New Zealand on Sanitary Measures Applicable to Trade in Live Animals and Animal Products,12,CP,LdoyTeVo,https://www.gov.uk/government/publications/cs-new-zealand-no12019-uknew-zealand-agreement-on-sanitary-measures-applicable-to-trade-in-live-animals-and-animal-product
1198,"Agreement, done at London on 22 November 2006, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Kazakhstan on International Road Transport",20,CP,ASYI0Udm,https://www.gov.uk/government/publications/cs-kazakhstan-no12019-ukkazakhstan-agreement-on-international-road-transport
1199,"Agreement, done at Washington on 18 December 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the United States of America on Prudential Measures regarding Insurance and Reinsurance",19,CP,23FpZF7X,https://www.gov.uk/government/publications/cs-usa-no12019-ukusa-bilateral-agreement-on-prudential-measures-regarding-insurance-and-reinsurance
1200,"Protocol, done at Geneva 5 November 2015, amending the Annex to the Agreement on Trade in Civil Aircraft",9,CP,g89ZQ6SG,https://www.gov.uk/government/publications/ms-no22019-protocol-2015-amending-the-annex-to-the-agreement-on-trade-in-civil-aircraft
1201,"Convention, done at Interlaken on, 20 May 1987, on a common transit procedure",9746,Cm.,Gv1isQFR,https://www.gov.uk/government/publications/ms-no142018-convention-on-a-common-transit-procedure-and-council-decision
1202,"Agreement, done at London on 15 May 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Turkey on the Establishment, Functioning and Activities of Cultural Centres",9736,Cm.,91edcn86,https://www.gov.uk/government/publications/cs-turkey-no12018-ukturkey-agreement-on-the-establishment-functioning-and-activities-of-cultural-centres
1203,"Agreement, done at Canberra on 21 August 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Australia on Cooperation in the Peaceful uses of Nuclear Energy",9731,Cm.,4uxc8jGh,https://www.gov.uk/government/publications/cs-australia-no12018-ukaustralia-agreement-for-cooperation-in-the-peaceful-uses-of-nuclear-energy
1204,"Agreement, done at Vienna on 7 June 2018, between the United Kingdom of Great Britain and Northern Ireland and the International Atomic Energy Agency for the Application of Safeguards in the United Kingdom of Great Britain and Northern Ireland in Connection with the Treaty on the Non-proliferation of Nuclear Weapons",9733,Cm.,w2KHW2ot,https://www.gov.uk/government/publications/ms-no132018-ukiaea-agreement-for-application-of-safeguards-in-connection-with-treaty-on-the-non-proliferation-of-nuclear-weapons
1205,"Agreement, done at Washington on 4 May 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the United States of America for Cooperation in Peaceful Uses of Nuclear Energy",9729,Cm.,QsYP2uhT,https://www.gov.uk/government/publications/cs-usa-no12018-ukusa-agreement-for-cooperation-in-peaceful-uses-of-nuclear-energy
1206,"Protocol, done at Vienna on 7 June 2018, between the United Kingdom of Great Britain and Northern Ireland and the International Atomic Energy Agency for the Application of Safeguards in the United Kingdom of Great Britain and Northern Ireland in Connection with the Treaty on the Non-Proliferation of Nuclear Weapons",9732,Cm.,PjMABqrk,https://www.gov.uk/government/publications/ms-no122018-ukiaea-protocol-additional-to-agreement-for-application-of-safeguards-in-connection-treaty-on-non-proliferation-of-nuclear-weapons
1207,"Agreement, done at Ottawa on 2 November 2018, between the Government of United Kingdom of Great Britain and Northern Ireland and the Government of Canada for Cooperation in the Peaceful Uses of Nuclear Energy",9730,Cm.,hknCejuz,https://www.gov.uk/government/publications/cs-canada-no12018-ukcanada-agreement-for-cooperation-in-the-peaceful-uses-of-nuclear-energy
1208,"Convention, done at The Hague on 23 November 2007, on the International Recovery of Child Support and other forms of Family Maintenance",9707,Cm.,IevM8Isr,https://www.gov.uk/government/publications/ms-no102018-international-recovery-of-child-support-and-other-forms-of-family-maintenance
1209,"Convention, done at The Hague on 30 June 2005, on Choice of Court Agreements",9723,Cm.,48SGIPNO,https://www.gov.uk/government/publications/ms-no112018-convention-on-choice-of-court-agreements
1210,"Interim Agreement, done at Grand Baie Mauritius on 29 August 2009, between the Eastern and Southern African States and the European Community and its Member States on a Framework for an Economic Partnership Agreement",9665,Cm.,e2NqNg2N,https://www.gov.uk/government/publications/eu-no92018-eceastern-and-southern-african-states-interim-agreement-establishing-a-framework-for-an-economic-partnership-agreement
1211,"Agreement, done at Kasane on 10 June 2016, between the European Union and its Member States and the SADC EPA States on Economic Partnership",9663,Cm.,WzAQMwlV,https://www.gov.uk/government/publications/eu-no82018-eusadc-epa-states-economic-partnership-agreement
1212,"Agreement, done at Brussels on 28 July 2016, between Ghana and the European Community and its Member States, on the Stepping Stone Economic Partnership Agreement",9666,Cm.,PbCMap7o,https://www.gov.uk/government/publications/eu-no72018-eughana-stepping-stone-economic-partnership-agreement
1213,"Treaty, done at Kuwait City on 28 January 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the State of Kuwait on Mutual Legal Assistance in Criminal Matters",9658,Cm.,RQ3SAchz,https://www.gov.uk/government/publications/cs-kuwait-no22018-ukkuwait-treaty-on-mutual-legal-assistance-in-criminal-matters
1214,"Extradition Treaty, done at Kuwait City on 15 December 2016, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the State of Kuwait",9657,Cm.,H3xXh0FQ,https://www.gov.uk/government/publications/cs-kuwait-no12018-ukkuwait-extradition-treaty
1215,"Comprehensive Economic and Trade Agreement done at Brussels on 30 October 2016, between Canada, of the one part, and the European Union and its Member States, of the other part",9622,Cm.,tdnwyJE6,https://www.gov.uk/government/publications/eu-no62018-eucanada-comprehensive-economic-and-trade-agreement
1216,"Amendments to Protocol, done at Geneva on 18 December 2009, on Persistent Organic Pollutants; and Amendments to Protocol, done at Geneva on 13 December 2012, on Heavy Metals",9571,Cm.,gTAvxDyq,https://www.gov.uk/government/publications/ms-no22018-amendments-to-texts-and-various-annexes-to-1998-protocol-on-persistent-organic-pollutants-and-1998-protocol-on-heavy-metals
1217,"Minamata Convention on Mercury, done at Kumamoto on 10 October 2013",9538,Cm.,ENEBSq68,https://www.gov.uk/government/publications/ms-no42017-minamata-convention-on-mercury
1218,"Agreement, done at Geneva 6 July 1999, Concerning the Geneva Act of The Hague Agreement Concerning the International Registration of Industrial Designs",9534,Cm.,evGkXufJ,https://www.gov.uk/government/publications/ms-no32017-geneva-act-of-the-hague-agreement-concerning-the-international-registration-of-industrial-designs
1219,"Convention, done at Dublin on 1 February 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Ireland on Social Security",49,CP,Ho6JlT6l,https://www.gov.uk/government/publications/cs-ireland-no12019-ukireland-convention-on-social-security
1236,"1994 Agreement, done at Marrakesh on 15th April 1994, on Government Procurement",51,CP,GGBQMvh2,https://www.gov.uk/government/publications/ms-no122019-1994-agreement-on-government-procurement
1237,"Agreement, done at Washington on 14 February 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on Mutual Recognition of Certificates of conformity for Marine Equipment",53,CP,pnJLfMBr,https://www.gov.uk/government/publications/cs-usa-no42019-ukusa-agreement-on-the-mutual-recognition-of-certificates-of-conformity-for-marine-equipment
1238,"Agreement, done at Washington on 14th February 2019,  between the Government of the United Kingdom of Great Britain and Northern Ireland and the United States of America on Mutual Recognition",54,CP,o3Cb4BQB,https://www.gov.uk/government/publications/cs-usa-no52019-ukusa-agreement-on-mutual-recognition
1239,"Revised Agreement, done at Geneva on 30 March 2012, on Government Procurement",52,CP,kdRHZl2d,https://www.gov.uk/government/publications/ms-no112019-revised-agreement-on-government-procurement
1247,"Agreement, done at Bern on 11 February 2019, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation on Trade",55,CP,L3EoXpEs,https://www.gov.uk/government/publications/cs-switzerland-no42019-ukswitzerland-trade-agreement
1291,"Additional Agreement, done at Bern on 11 February 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Swiss Confederation and the Principality of Liechtenstein on extending to the Principality of Liechtenstein certain provisions of the Trade Agreement between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation",65,CP,LrAgwdZo,https://www.gov.uk/government/publications/cs-liechtenstein-no12019-ukliechtenstein-additional-agreement-extending-certain-provisions-of-ukswiss-trade-agreement-to-liechtenstein
1292,"Agreement, done at Tel Aviv on 18 February 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the State of Israel on Trade and Partnership",59,CP,XFXmcrqz,https://www.gov.uk/government/publications/cs-israel-no12019-ukisrael-trade-and-partnership-agreement
1293,Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Serbia on International Road Transport,60,CP,askX1fZX,https://www.gov.uk/government/publications/cs-serbia-no12019-ukserbia-agreement-on-on-international-road-transport
1295,"Agreement, done at Bern on 25 February 2019, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation on Citizens' Rights following the Withdrawal of the United Kingdom from the European Union and the Free Movement of Persons Agreement",64,CP,v2OQpznw,https://www.gov.uk/government/publications/cs-switzerland-no52019-ukswitzerland-agreement-on-citizens-rights-following-withdrawal-of-uk-from-the-eu-and-free-movement-of-persons-agreement
1386,"Agreement, done at Madrid on 21 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Spain on the Participation in Certain Elections of Nationals of Each Country Resident in the Territory of the Other",71,CP,tAmoC1VM,https://www.gov.uk/government/publications/cs-spain-no22019-ukspain-agreement-on-the-participation-in-certain-elections-of-nationals-of-each-country-resident-in-the-territory-of-the-other
1387,"International Agreement, done at London and Madrid on 4 March 2019,  on Taxation and the Protection of Financial Interests Between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Spain regarding Gibraltar",72,CP,9BprJI0y,https://www.gov.uk/government/publications/cs-spain-no12019-ukspain-international-agreement-on-taxation-and-the-protection-of-financial-interests-regarding-gibraltar
1397,"Agreement, done at London on 14 March 2019, between the United Kingdom of Great Britain and Northern Ireland, of the one part, and the Pacific States, of the other part on establishing an Interim Economic Partnership",76,CP,kqHzj3ra,https://www.gov.uk/government/publications/ms-no152019-interim-economic-partnership-agreement-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-pacific-states
1415,"Agreement, done at London on 5 July 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of Morocco regarding the System of British Schools in Morocco",77,CP,73gzIbmo,https://www.gov.uk/government/publications/cs-morocco-no12019-ukmorocco-agreement-regarding-the-system-of-british-schools-in-morocco
1455,"Agreement, done at Saint Lucia on 22 March 2019, between the United Kingdom of Great Britain and Northern Ireland and the CARIFORUM States, on Economic Partnership",83,CP,peVtkGJG,https://www.gov.uk/government/publications/ms-no162019-economic-partnership-agreement-between-the-cariforum-states-of-the-one-part-and-the-united-kingdom-of-great-britain-and-northern-ire
1456,"Voluntary Partnership Agreement, done at Jakarta on 29 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Republic of Indonesia on Forest Law Enforcement, Governance and Trade in Timber Products into the United Kingdom of Great Britain and Northern Ireland",87,CP,ng7PFC1Y,https://www.gov.uk/government/publications/cs-indonesia-no12019-ukindonesia-voluntary-partnership-agreement-on-forest-law-enforcement-governance-and-trade-in-timber-products
1463,"Agreement, done at Minsk on 18 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Belarus concerning International Motor Vehicle Carriage",85,CP,SaimjrAj,https://www.gov.uk/government/publications/cs-belarus-no12019-ukbelarus-agreement-concerning-international-motor-vehicle-carriage
1475,"Agreement, done at London on 2 April 2019, between the United Kingdom of Great Britain and Northern Ireland, Iceland and the Kingdom of Norway on Trade in Goods",89,CP,Tye4yLgN,https://www.gov.uk/government/publications/ms-no172019-agreement-between-the-united-kingdom-of-great-britain-and-northern-ireland-iceland-and-the-kingdom-of-norway-on-trade-in-goods
1498,"Agreement, done at Oslo on 18 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of Norway on International Road Transport",94,CP,2TNjgkLI,https://www.gov.uk/government/publications/cs-norway-no12019-uknorway-agreement-on-international-road-transport-with-protocol
1530,"Agreement, done at Saint Lucia on 22 March 2019, between the United Kingdom of Great Britain and Northern Ireland and the CARIFORUM States, on Economic Partnership",103,CP,gWp4hgCc,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement#treaty-text
1565,"Agreement, done at Glasgow on 16 July 2013, between the United Kingdom of Great Britain and Northern Ireland and the European Space Agency on the European Space Agency's Sites and Facilities in the United Kingdom",121,CP,Qmcs0Xl4,https://www.gov.uk/government/publications/ms-no212019-agreement-between-the-government-of-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-space-agency-concerning
1566,"Protocol, done at Brussels on 28 January 2019, to the North Atlantic Treaty on the Accession of the Republic of North Macedonia",116,CP,j6Q9o8NI,https://www.gov.uk/government/publications/ms-no202019-protocol-to-the-north-atlantic-treaty-on-the-accession-of-the-republic-of-north-macedonia
1567,"Agreement, done at Quito on 15 May 2019, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Colombia, the Republic of Ecuador and the Republic of Peru on Trade",122,CP,oXvXERK5,https://www.gov.uk/government/publications/ms-no222019-trade-agreement-between-the-united-kingdom-of-great-britain-and-northern-ireland-of-the-one-part-and-the-republic-of-colombia-the-r
1576,"Agreement, done at London on 5 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Commonwealth of the Bahamas on Air Services",123,CP,VyGy5Trz,https://www.gov.uk/government/publications/cs-bahamas-no12019-ukbahamas-air-services
1577,"Agreement, done at London on 24 July 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the State of Kuwait on Air Services",124,CP,2Uo6zIvj,https://www.gov.uk/government/publications/cs-kuwait-no12019-ukkuwait-air-services
1581,"Protocol, done at London on 7 June 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Ukraine on International Road Transport",129,CP,zUsldqNl,https://www.gov.uk/government/publications/cs-ukraine-no12019-ukukraine-protocol-on-amendments-to-the-agreement-on-international-road-transport
1593,"Protocol, done at Brussels on 6 February 2019, to the North Atlantic Treaty on the Accession of the Republic of North Macedonia",136,CP,lS0YIWIM,https://www.gov.uk/government/publications/ms-no232019-protocol-to-the-north-atlantic-treaty-on-the-accession-of-the-republic-of-north-macedonia
1620,"Agreement, done at Lisbon on 12 June 2019, between the United Kingdom of Great Britain and Northern Ireland and the Portuguese Republic regarding the Participation in Local Elections of Nationals of each State Resident in the Other's Territory",142,CP,C4bDxxyD,https://www.gov.uk/government/publications/cs-portugal-no12019-ukportugal-agreement-regarding-the-participation-in-local-elections-of-nationals-of-each-state-resident-in-the-others-terri
1621,"Agreement, done at Luxembourg on 18 June 2019, between the United Kingdom of Great Britain and Northern Ireland and the Grand Duchy of Luxembourg on the Participation in Certain Elections of Nationals of Each Country Resident in the Territory of the Other",141,CP,K2SPUbUh,https://www.gov.uk/government/publications/cs-luxembourg-no12019-ukluxembourg-agreement-on-the-participation-in-certain-elections-of-nationals-of-each-country-resident-in-the-territory-o
1622,"Revised Agreement, done at Geneva on 30 March 2012, on Government Procurement on the Accession of Australia",145,CP,cA8xw5QQ,https://www.gov.uk/government/publications/ms-no242019-new-and-amended-schedules-to-the-revised-agreement-on-government-procurement-as-a-result-of-australias-accession
