id,title,url,triplestoreid
812,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,eyhORoUm
813,House of Lords Minute,https://lordsbusiness.parliament.uk/,DgLAgnog
816,House of Lords Minute,https://lordsbusiness.parliament.uk/,dp18TS3h
817,House of Lords Business website,http://lordsbusiness.parliament.uk/,meTNy1Iw
818,House of Lords Business website ,https://lordsbusiness.parliament.uk/,kiU2aMfQ
820,House of Lords Order Paper,https://lordsbusiness.parliament.uk/,L7iqW77T
824,EDMs website,https://edm.parliament.uk/,5afcYSQ6
825,EDMs website,https://edm.parliament.uk/,sc8vjBvk
826,House of Lords Business website,http://lordsbusiness.parliament.uk/,DSKC1pnT
827,House of Lords Minute ,https://lordsbusiness.parliament.uk/,CdAg1cTr
828,House of Lords Minute,https://lordsbusiness.parliament.uk/,xbiibVF1
832,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,hqIbkSzp
836,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,fb3bzicE
837,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,sNCvWe7q
838,EDMs website,https://edm.parliament.uk/,b0k5MPHg
843,House of Lords Business website,https://lordsbusiness.parliament.uk/,ndrx5kQ7
844,EDMs website,https://edm.parliament.uk/,WjBmoGIs
850,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,JwYANdfI
853,Speakers Office email,,OgCAUA2q
854,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,1X6GB8y8
858,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,sKiowwZF
859,House of Lords Minute ,https://lordsbusiness.parliament.uk/,IQtsQdwX
872,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,6EBhI97Z
873,House of Lords Minute ,https://lordsbusiness.parliament.uk/,9tiDt7LX
874,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,kLFketA9
875,House of Lords Minute,https://lordsbusiness.parliament.uk/,xRahiymt
876,EDMs website ,https://edm.parliament.uk/,UA1qzGqH
877,House of Lords Business website ,https://lordsbusiness.parliament.uk/,xT3OVMjM
878,EDMs website ,https://edm.parliament.uk/,SI2c7NOB
879,House of Lords Business website ,https://lordsbusiness.parliament.uk/,lFqm51J3
881,House of Lords Minute,https://lordsbusiness.parliament.uk/,LXdFPktn
886,Commons Hansard,https://hansard.parliament.uk/commons,DWca2TMn
887,House of Lords Business website ,https://lordsbusiness.parliament.uk/,x6fCCGHb
888,Treaties scrutinised by the European Union Committee,https://old.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/content/treaties-scrutinised-by-the-european-union-committee/,GUzXaQ0V
889,Treaties scrutinised by the European Union Committee,https://old.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/content/treaties-scrutinised-by-the-european-union-committee/,CyUikmJI
890,Treaties scrutinised by the European Union Committee,https://old.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/content/treaties-scrutinised-by-the-european-union-committee/,yluWduyO
891,Treaties scrutinised by the European Union Committee,https://www.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/inquiries/parliament-2017/scrutiny-of-brexit-related-treaties/treaties-scrutinised/,miPbESZu
892,Treaties scrutinised by the European Union Committee,https://www.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/inquiries/parliament-2017/scrutiny-of-brexit-related-treaties/treaties-scrutinised/,egbNd9kM
893,Treaties scrutinised by the European Union Committee,https://www.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/inquiries/parliament-2017/scrutiny-of-brexit-related-treaties/treaties-scrutinised/,rmlVGM7C
894,Treaties scrutinised by the European Union Committee,https://www.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/inquiries/parliament-2017/scrutiny-of-brexit-related-treaties/treaties-scrutinised/,f3PXQ8au
895,European Union Committee reports ,https://committees.parliament.uk/committee/176/european-union-committee/,uQg0eNKq
896,European Union Committee reports ,https://committees.parliament.uk/committee/176/european-union-committee/,R4TGabnu
897,House of Lords Business website ,https://lordsbusiness.parliament.uk/,5Rr83LNg
898,House of Lords Minutes,https://lordsbusiness.parliament.uk/,TskikOf5
900,House of Lords Minutes,https://lordsbusiness.parliament.uk/,uPRnHpIu
901,House of Lords Minutes,https://lordsbusiness.parliament.uk/,mNUgG2tf
902,House of Lords Minutes,https://lordsbusiness.parliament.uk/,6A0gBBX1
903,House of Lords Business website ,https://lordsbusiness.parliament.uk/,5tkbKZTh
905,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,DSHcEi1o
906,House of Lords Minute,https://lordsbusiness.parliament.uk/,YHeFBnJI
907,House of Lords Minutes,https://lordsbusiness.parliament.uk/,RW424xkZ
908,House of Lords minutes,https://lordsbusiness.parliament.uk/,pJqB3r62
909,Commons Hansard ,https://hansard.parliament.uk/commons,kpuSf9ZW
910,Commons Hansard ,https://hansard.parliament.uk/commons,t5mRARSG
911,Lords Hansard ,https://hansard.parliament.uk/lords,b0MGlITj
912,Lords Hansard ,https://hansard.parliament.uk/lords,oqCCg9WC
913,Commons Hansard,https://hansard.parliament.uk/commons,KCJirxVj
916,Lords Hansard,https://hansard.parliament.uk/lords,c4y79RAg
917,Lords Hansard,https://hansard.parliament.uk/lords,F0VuU2Lu
918,Commons Hansard,https://hansard.parliament.uk/commons,3YQPj7vV
919,Lords Hansard,https://hansard.parliament.uk/lords,2unwFH0F
920,Lords Hansard,https://hansard.parliament.uk/lords,v6aj1yzB
921,Lords Hansard,https://hansard.parliament.uk/lords,rBcPusos
922,House of Lords Business website,https://lordsbusiness.parliament.uk/,LNUPtSnu
923,House of Lords Business website ,https://lordsbusiness.parliament.uk/,7KOMdnfd
929,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,ACxfGePg
930,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,wVpKYCeC
932,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,jxWgVygl
933,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,CtPasrI6
935,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,1b8vgclF
936,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,xiG0VHmQ
937,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,KFy7sh5y
938,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,cR3fGArG
939,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,CwyaxvIX
940,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,m9kYD466
941,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,2t9Wt7nk
943,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,cfh4hopB
944,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,CRuxT6pk
945,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,vYXdOgzm
946,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,GWLP65TL
948,Secondary Legislation Scrutiny Committee reports ,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/,mP9ayWxL
951,European Union Committee pages,https://old.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/,uU18Z9XI
954,Deposited Papers website ,https://depositedpapers.parliament.uk/,6zZMBurk
955,Deposited Papers website,https://depositedpapers.parliament.uk/,uk2PVSqi
956,Deposited papers website ,https://depositedpapers.parliament.uk/,DoUJmCub
957,Legislation.gov.uk,https://www.legislation.gov.uk/,H1DZtWFL
958,Legislation.gov.uk,https://www.legislation.gov.uk/,Hn3Qk1f4
959,Legislation.gov.uk,https://www.legislation.gov.uk/,y1vFcEuD
961,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,TBMUc01I
967,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,0PGMKy4X
970,EDMs website ,https://edm.parliament.uk/,IYHvIzHF
971,Commons Hansard ,https://hansard.parliament.uk/commons,8N2tBdCU
972,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,TEWH1H7G
973,EDMs website ,https://edm.parliament.uk/,D7roxEwF
975,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,CW1E2FyP
976,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,cMdWqw9A
977,International Trade Committee website ,https://committees.parliament.uk/committee/367/international-trade-committee/,XdJNsBhU
979,International Trade Committee publications page ,https://committees.parliament.uk/committee/367/international-trade-committee/publications/reports-responses/,fkMWbLQ3
986,European Union Committee responses page,https://committees.parliament.uk/committee/176/european-union-committee/publications/2/government-response/,iMR1R1CU
988,European Union Committee legislative scrutiny page,https://committees.parliament.uk/committee/448/eu-international-agreements-subcommittee/work/3/legislative-scrutiny/,cShctdoM
989,International Trade Committee non-inquiry scrutiny,https://committees.parliament.uk/committee/367/international-trade-committee/work/2/?committeebusinesstypeslug=noninquiry-session,Bdpqoufm
990,Joint Committee on Human rights website,https://committees.parliament.uk/committee/93/human-rights-joint-committee/,56F6WiYC
991,Joint Committee on Human Rights non-inquiry scrutiny pages ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/work/2/?committeebusinesstypeslug=noninquiry-session,wFvXJejh
993,International Agreements Committee non-inquiry scrutiny pages,https://committees.parliament.uk/committee/448/international-agreements-committee/work/3/?committeebusinesstypeslug=legislative-scrutiny,8ff05OoW
994,International Agreements Committee website ,https://committees.parliament.uk/committee/448/international-agreements-committee/,f7m73FKW
998,Government Official Documents ,https://www.gov.uk/official-documents,ookwqd1v
999,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,O28ZmSNk
1000,House of Lords Minutes,https://lordsbusiness.parliament.uk/,bEiPqmFb
1001,House of Commons Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True,QqoKlqAp
1004,Secondary Legislation Scrutiny Committee oral evidence transcripts ,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/publications/oral-evidence/,7uzejsjp
1006,Lords Hansard ,https://hansard.parliament.uk/lords,a0qJzYR0
1008,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,XadOAmAn
1009,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,urxFaj4N
1010,Lords Hansard ,https://hansard.parliament.uk/lords,VkrWdJYi
1012,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,805F7CQv
1013,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,p0bxE3MN
1014,Commons Hansard ,https://hansard.parliament.uk/commons,wXuyxuu2
1015,Lords Hansard ,https://hansard.parliament.uk/lords,IPyrOz1A
1016,House of Commons Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True,qPLQkL3k
1017,legislation.gov.uk,https://www.legislation.gov.uk/,kV9SGf3y
1021,European Affairs Committee responses ,https://committees.parliament.uk/committee/516/european-affairs-committee/publications/reports-responses/,2vQkLGHG
1022,European Affairs Committee non-inquiry scrutiny,https://committees.parliament.uk/committee/516/european-affairs-committee/work/2/?committeebusinesstypeslug=noninquiry-session,Fysk0o4k
1023,European Affairs Committee inquiries ,https://committees.parliament.uk/committee/516/european-affairs-committee/work/inquiries/?status=any,3uYFpK1I
1024,House of Lords Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True,m0sLDfWp
1027,Government's Official Documents ,http://www.official-documents.gov.uk/,zpnkXshK
1035,Joint Committee on Human Rights responses,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/,0GOf2kQZ
1042,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,OkKWpSiz
1043,House of Lords Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True,kPbCCxj9
1049,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,JyczgGPE
1052,House of Lords Business pages ,https://lordsbusiness.parliament.uk/,prlzyNLX
1053,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,bAOrftXf
1054,House of Lords Minutes,https://lordsbusiness.parliament.uk/,kFmrEE6z
1055,Lords Hansard ,https://hansard.parliament.uk/lords,5d53LN90
1057,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,YQSDQt0r
1058,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,QuadYBDi
1059,House of Lords Business pages,https://lordsbusiness.parliament.uk/,p30uIyg2
1060,House of Lords Minutes,https://lordsbusiness.parliament.uk/,NYOtKVOx
1061,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,1MbZmSTx
1062,Lords Hansard ,https://hansard.parliament.uk/lords,KgTAM96x
1064,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,SiUdd3tH
1065,House of Lords Minutes ,https://lordsbusiness.parliament.uk/,WlmjiRVg
1066,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,gTMkcMkx
1067,Legislation.gov.uk,https://www.legislation.gov.uk/,v9kysU0L
1068,House of Lords Business website ,https://lordsbusiness.parliament.uk/,u1OGdtUc
1069,House of Lords Business website ,http://lordsbusiness.parliament.uk/,r2vMahUr
1072,Secondary Legislation Scrutiny Committee reports,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/,rlVr4AnD
1073,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,f5gRM1S7
1074,House of Lords Minute,https://lordsbusiness.parliament.uk/,HTacvegL
1075,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,H37FTD3v
1076,Egg-timer,,9oElGht7
1077,SLSC produced clock table (See SI Service folder),,9mp1vGmm
1078,House of Lords Minute,https://lordsbusiness.parliament.uk/,HiuFOfgC
1079,Legislation.gov.uk,http://www.legislation.gov.uk,goxFmHG4
1080,Legislation.gov.uk,https://www.legislation.gov.uk/,SbLLAtDV
1081,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,n4EXlniD
1082,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,H23lJzkS
1083,EU Withdrawal Act 2018 statutory instruments page on gov.uk,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments,oaVGzuy0
1084,House of Lords Business website ,https://lordsbusiness.parliament.uk/,BIunINRH
1085,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,IvbOpsna
1086,House of Lords Business website ,https://lordsbusiness.parliament.uk/,URqQ9IUG
1087,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,G4QVK07u
1091,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,FtkIgMaJ
1092,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/,3piO64NH
1093,European Union Committee reports,https://committees.parliament.uk/committee/176/european-union-committee/,Ypdx9HVy
1094,Commons Order Paper ,https://commonsbusiness.parliament.uk/search?SearchTerm=Order+Paper,dK5HVyNB
1095,Legislation.gov.uk,https://www.legislation.gov.uk/,r6uhpCiY
1096,legislation.gov.uk,https://www.legislation.gov.uk/,iSycfhk9
1097,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/,yfZaabVC
1098,Joint Committee on Human Rights,https://committees.parliament.uk/committee/93/human-rights-joint-committee/,KG19RfyD
1099,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/,pp1ER9cD
1100,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/,DXgznu2o
1104,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/,XQBnq0IU
1105,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/,3iU7YTkM
1106,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/,Rf9VaN3K
1109,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/,IM1xgIhq
1110,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/,7XpIsvvY
1111,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/,SPVUOzs9
1112,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/,s8TroQbY
1113,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/publications/,HKQbpv9L
1114,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/,h71wZKVR
1121,European Union Committee reports ,https://committees.parliament.uk/committee/176/european-union-committee/publications/,F6JVa0GJ
1128,Egg-timer,https://api.parliament.uk/egg-timer/,tdedoNG5
1129,Egg-timer,https://api.parliament.uk/egg-timer/,leBN8PP0
1130,DPRRC Oral evidence,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/oral-evidence/,Addrsfip
1133,Votes & Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,QSF1GVbh
1134,Date the motion was not moved,https://hansard.parliament.uk/commons,MzIp3lv0
1135,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,WfV7N3XO
1136,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,6LY1c0L7
1137,Commons Hansard,https://hansard.parliament.uk/Commons,s3uYkLRa
1139,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/,c266NXnu
1140,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/,cr13AvRp
1141,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/,tE8LimCX
1142,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/,02URdLKm
1143,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/,24dCRCRA
1144,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/,AYyGnIK0
1147,Lords Business,https://lordsbusiness.parliament.uk/,NBwP4gyf
1148,Lords Hansard,https://hansard.parliament.uk/Lords,tt5VylQP
1149,Lords Hansard,https://hansard.parliament.uk/Lords,FUmalElX
1150,Lords Business,https://lordsbusiness.parliament.uk/,zHEpD3CP
1151,Lords Business,https://lordsbusiness.parliament.uk/,kG2P65mN
1152,Delegated Powers and Regulatory Reform Committee reports ,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/,yxgJfHBT
1154,Delegated Powers and Regulatory Reform Committee reports ,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/,9j3zFsbi
1156,House of Lords Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True,RjF7Zjnf
1157,House of Commons Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True,0zwLaFNv
1160,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/,Bw435SZH
1161,International Trade Committee reports,https://committees.parliament.uk/committee/367/international-trade-committee/,n30ZRx91
1162,International Trade Committee reports,https://committees.parliament.uk/committee/367/international-trade-committee/,uJMkgW3h
1163,International Trade Committee reports,https://committees.parliament.uk/committee/367/international-trade-committee/,X9j9IYdZ
1164,International Trade Committee reports,https://committees.parliament.uk/committee/367/international-trade-committee/,MFka1HyM
1166,International Trade Committee reports,https://committees.parliament.uk/committee/367/international-trade-committee/,ut6GPykF
1167,International Trade Committee  oral evidence transcripts ,https://committees.parliament.uk/committee/367/international-trade-committee/publications/oral-evidence/,yaGp1qQz
1168,Delegated Powers and Regulatory Reform Committee reports,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/,LqkTbBMg
1200,Delegated Powers and Regulatory Reform Committee reports ,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/,zrGd9dyG
1205,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,fxOHMFTb
1206,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,Vz2DpEPt
1207,Commons Hansard,https://hansard.parliament.uk/commons,vPiDHDhx
1208,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,VTs5FVuJ
1209,Commons Hansard,https://hansard.parliament.uk/Commons,x7q9yU5e
1212,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/,BUb89XQj
1219,House of Lords Business website,https://lordsbusiness.parliament.uk/,J29lQAV8
1220,Lords Business,https://lordsbusiness.parliament.uk/,Pwv9o2HV
1221,Lords Hansard,https://hansard.parliament.uk/Lords,Vb5h27Jq
1222,Lords Hansard,https://hansard.parliament.uk/Lords,T1V42c1f
1223,Lords Business,https://lordsbusiness.parliament.uk/,3blYRy1N
1226,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings,lccoHyDm
1227,House of Lords minutes ,https://lordsbusiness.parliament.uk/,VCOXS9yS
1231,"Business, Energy and Industrial Strategy Committee oral evidence transcripts ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/oral-evidence/,gkamPKsj
1233,"Environment, Food and Rural Affairs Committee website ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee,lKahsqpW
1235,"Environment, Food and Rural Affairs Committee publications pages ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/publications/reports-responses/,vq1ktP5Z
1240,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/,GFWXGyXd
1241,"Environment, Food and Rural Affairs Committee oral evidence transcripts ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/publications/oral-evidence/,Aq28ZxlU
1242,International Agreements Committee oral evidence transcripts ,https://committees.parliament.uk/committee/448/international-agreements-committee/publications/oral-evidence/,2Hh9lJb4
1246,"Environment, Food and Rural Affairs Committee reports ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/publications/reports-responses/,P9yZeo4a
1247,"Environment, Food and Rural Affairs Committee reports ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/publications/reports-responses/,6UXbj39F
1250,"Environment, Food and Rural Affairs Committee reports ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee,q4MKsIFx
1251,"Environment, Food and Rural Affairs Committee reports ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/,IoJX8zG2
1252,"Environment, Food and Rural Affairs Committee reports ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/publications/reports-responses/,Rf9Crmc8
1254,"Environment, Food and Rural Affairs Committee correspondence pages ",https://committees.parliament.uk/committee/52/environment-food-and-rural-affairs-committee/publications/3/correspondence/,8z42FFuh
1256,House of Lords Minute ,https://lordsbusiness.parliament.uk/,x2C3CWen
1257,House of Lords Minute ,https://lordsbusiness.parliament.uk/,yRp7rHaa
1258,House of Lords Minute ,https://lordsbusiness.parliament.uk/,MOYHFRq1
1259,House of Lords Minute ,https://lordsbusiness.parliament.uk/,1t7W4g5L
1260,House of Lords Minute ,https://lordsbusiness.parliament.uk/,Ts1og0Ab
1261,House of Lords Minute ,https://lordsbusiness.parliament.uk/,9jmcuKdH
1262,House of Lords Minute ,https://lordsbusiness.parliament.uk/,HhAgkSTh
1263,House of Lords Minute ,https://lordsbusiness.parliament.uk/,OwHtdgFU
1264,House of Commons Written Statements website,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True,Dcu2FypY
1265,House of Lords Written Statements website ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True,XvUXi8EW
1266,House of Commons Written Statements website ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True,nqjm9T1K
1267,House of Lords Written Statements website ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True,1myhVLzz
1270,House of Commons Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True,fZsjwegJ
1271,House of Lords Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True,qrdMwBgI
