id,label,name,description,hassteptype,businessstepinhouse,businessstepinlegislature,memberof,actualisationnote,linknote,datenote,actualisedalongside,source,triplestoreid
86,Instrument remains law,Instrument remains law,Made negative instruments remain law once they reach the end of the 40 day objection period and neither House has objected. Made affirmative instruments remain law once they have been approved by the House(s). ,1,,,4,"Previously ""Instrument remains in effect as law"", which was inaccurate for made negatives which come into force after the objection period ends. It is only accurate for made negatives which come into force during the objection period. ",Statutory instrument (intro page),Date clock ends,,1080,xdLIQx0e
2465,Fatal amendment to legislative consent motion not selected by Presiding Officer (Senedd Cymru),Fatal amendment to legislative consent motion not selected by Presiding Officer,,1,,3,,,,,,,GK6KxSZz
92,"Drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) (House of Commons, House of Lords)",Drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),Instrument considered by the Joint Committee on Statutory Instruments and has raised concerns in line with the committee's terms of reference. ,1,"1, 2",,"5, 4",Will appear under the heading 'Instruments reported' in the actual report. We will first see notice of the report in the Vote/LBP on a Thursday but the report will be published on a Friday so we actualise retrospectively. Name changed from 'concerns raised' in March 2020. Name changed from 'instrument reported' in October 2023.,JCSI report - anchor link to the specific instrument,Date the JCSI met (usually a Wednesday).,"8, 3161, 3162, 3163, 3164, 3165, 3166",1496,VDT2CWL6
93,Considered by the European Statutory Instruments Committee (ESIC) (House of Commons),Considered by the European Statutory Instruments Committee (ESIC),Consideration completed by the European Statutory Instruments Committee within their terms of reference. The committee was active from July 2018 until the 29 May 2024 when the 58th Parliament was dissolved. ,1,1,,,We will first see notice of the report in the Vote/LBP on a Wednesday but the report will be published on a Thursday so we actualise retrospectively.  The committee's functions have been replaced by departmental committees. ,Depends on the outcome of the report for each instrument. ,Date ESIC met (usually a Tuesday),"65, 66",1430,h3gt4BTJ
94,Not certified under the English votes for English laws (EVEL) process (House of Commons),Not certified under the English votes for English laws (EVEL) process,"The English Votes for English Laws (EVEL) process is designed to ensure that legislation that affects only England, or England and Wales, is approved by a majority of MPs representing English constituencies, or English and Welsh constituencies. It also applies to legislation introducing a tax measure that affects only England, Wales and Northern Ireland, which must be approved by a majority of MPs representing constituencies in those areas. Instruments not certified apply to the whole of the UK. ",1,1,,4,We receive this information via email from the Speaker's Office. Usually once a week but could be adhoc or more than once. ,No link,Date of the Speaker's consideration - will be on the letter we receive from the Speaker's Office,34,853,qtDMKvC4
95,Non-fatal motion (prayer) to object to the instrument rejected (House of Commons),Non-fatal motion (prayer) to object to the instrument rejected,"A non-fatal motion (prayer) does not stop a statutory instrument being law but may be used by either House to indicate concern. In the Commons, a prayer motion tabled outside the 40 sitting days period is non-fatal as it can only object to the instrument, rather than stop it.",1,1,,4,"Motion text will refer to ""revoke"" or ""withdraw"". Will usually follow a debate in the Chamber or as a formal proceeding following a DLC debate. ",Vote anchor link,Date of the decision,77,854,azeuTQzC
96,Instrument rejected (House of Commons),Instrument rejected,"Affirmative instrument rejected by the House of Commons. If either House resolves that an affirmative instrument should not be approved, the instrument, depending on whether it is a draft or already made, cannot become law or stops being law. ",1,1,,4,If actualised this will bring the SI procedure to an end. ,V&P anchor link,Date of decision,26,1082,9irs4N6L
98,Secondary Legislation Scrutiny Committee (SLSC) agreed the instrument should follow the negative procedure (House of Lords),Secondary Legislation Scrutiny Committee (SLSC) agreed the instrument should follow the negative procedure,"The Secondary Legislation Scrutiny Committee, under the remit of Schedule 7 of the European Union (Withdrawal) Act 2018, agreed that the appropriate procedure for the instrument is for it to be subject to annulment.",1,2,,4,We will first see notice of the report in the Vote/LBP on a Wednesday but the report will be published on a Thursday so we actualise retrospectively. ,SLSC report - specific PNSI page,Date the SLSC met (usually a Tuesday or Wednesday depending on which Sub-Comm).,19,1609,t8ZjDv8Y
1355,Non-ten minute rule Public Bill created,Non-ten minute rule Public Bill created,Bills introduced by leave of the House following a speech of not more than ten minutes from the sponsor of the proposal.,1,,,,,,,,,nj5UplZC
99,Proposed negative statutory instrument created,Proposed negative statutory instrument created,"This shows the text of the instrument. This step is not part of parliamentary procedure, it is an indicative starting step for the purposes of the Statutory Instrument Service website. ",1,,,1,Individual step that begins the PNSI procedure,Specific PNSI page on gov.uk,Date laid,,1083,u7VOBBH0
100,Decision on motion to approve the instrument deferred (House of Commons),Decision on motion to approve the instrument deferred,"After the moment of interruption (the time at which the main business must usually finish), any division on a statutory instrument motion is deferred until the following Wednesday. ",1,1,,4,"Will usually appear in the Vote along the lines of ""The Deputy Speaker’s opinion as to the decision of the Question was challenged. "" ",V&P anchor link,Date the question was put,26,858,2J36nNXG
105,Scrutiny reserve for the Joint Committee on Statutory Instruments (JCSI) dispensed with (House of Lords),Scrutiny reserve for the Joint Committee on Statutory Instruments (JCSI) dispensed with,"Under House of Lords Standing Order 72, no motion for a resolution of the House to approve an affirmative instrument shall be made unless the instrument has been considered by the Joint Committee on Statutory Instruments. Standing Order 72 can be dispensed with to allow motions to approve affirmative instruments. This usually only applies to emergency legislation. ",1,2,,4,"""Refers to SO No 73 in the Lords. The SO reserves a period of scrutiny to the JCSI, during which approval motion cannot be tabled, until such time as the JCSI has reported on the instrument. Suspension of this SO removes the bar on tabling an approval motion before reporting. In other words, the approval motion can be be moved despite the JCSI not having yet reported. """,LBP Minutes,Date on which the SO is suspended,,859,n1z4oO2y
2466,Question put on fatal amendment to legislative consent motion (Senedd Cymru),Question put on fatal amendment to legislative consent motion,,1,,3,,,,,,,uloNn8WG
106,Instrument withdrawn from the House of Lords (House of Lords),Instrument withdrawn from the House of Lords,Government has withdrawn the draft instrument from the House of Lords and therefore procedure has concluded.,1,2,,4,"Instrument must be withdrawn from both Houses if bicameral and this will also result in the procedure concluding. Note that instruments can be laid into the House of Lords accidentally when it should only be a Commons only instrument, DO NOT add the withdrawn step in these cases, please delete all Lords steps from the workpackage as if they never happened. ",LBP - individual link,Date withdrawn,,1084,CbO22SWg
107,Instrument withdrawn from the House of Commons (House of Commons),Instrument withdrawn from the House of Commons,Government has withdrawn the draft instrument from the House of Commons and therefore procedure has concluded.,1,1,,4,Instrument must be withdrawn from both Houses if bicameral and this will also result in the procedure concluding. ,V&P - anchor link,Date withdrawn,,1085,LkpqQD8q
108,Proposed negative statutory instrument withdrawn from the House of Lords (House of Lords),Proposed negative statutory instrument withdrawn from the House of Lords,Government has withdrawn the proposed negative statutory instrument from the House of Lords and therefore procedure has concluded. ,1,2,,4,A PNSI being withdrawn will result in the procedure concluding in both Houses. ,Individual item in the Lords Papers,Date withdrawn,,1086,glMwwx1F
109,Proposed negative statutory instrument withdrawn from the House of Commons (House of Commons),Proposed negative statutory instrument withdrawn from the House of Commons,Government has withdrawn the proposed negative statutory instrument from the House of Commons and therefore procedure has concluded. ,1,1,,4,A PNSI being withdrawn will result in the procedure concluding in both Houses. ,Anchor link in the Vote,Date withdrawn,,1087,1zussAAv
2467,Fatal amendment to legislative consent motion agreed to (Senedd Cymru),Fatal amendment to legislative consent motion agreed to,,1,,3,,,,,,,Fc1mXcUk
110,Procedure concluded in the House of Commons (House of Commons),Procedure concluded in the House of Commons,"Parliamentary procedure has concluded for this House of Commons only instrument. It is unlikely that any further scrutiny will take place, however there is a possibility that non-substantive business, such as a debate or committee consideration, could take place. ",1,1,,"2, 4","Applies to House of Commons only SIs. Do not use if the instrument has been laid in the Lords, there is a specific bicameral step. ",No link,Depends on the SI procedure - Made negatives should be actualised on the date objection period ends. For affirmatives when the House of Commons approves/rejects the SI,,,hN1EDPLv
111,"Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords)",Procedure concluded in the House of Commons and the House of Lords,"Parliamentary procedure has concluded for this bicameral instrument. It is unlikely that any further scrutiny will take place, however there is a possibility that non-substantive business, such as a debate or committee consideration, could take place. ",1,"1, 2",,"2, 3, 4",Applies to all SIs/PNSIs laid in both Houses,No link,Dependent on the SI procedure - negatives depends on the end of the objection period. For affirmatives it is dependent on the approval/rejection of the last House to put the question.,,,u5AUJb2q
1356,Bill in Commons as first House,Bill in Commons as first House,Bill introduced to Parliament by a Member of the House of Commons. ,1,,,,,,,,,mqDiKq6H
119,Ministerial statement under Section 22 of the Constitutional Reform and Governance Act 2010: Section 20 does not apply (House of Lords),Ministerial statement under Section 22 of the Constitutional Reform and Governance Act 2010: Section 20 does not apply,Allows a Minister to certify that a treaty can be ratified although it has not met the requirements of section 20 of CRAG.  It applies in ‘exceptional circumstances’. These are not defined. The only restriction on a Minister using the power under section 22 is if either House has already resolved that the treaty should not be ratified.,1,2,,4,Should appear at the same time the treaty is laid. Will make the objection period redundant.,Written statement ,Date of statement,,1265,8uPoNMi5
120,Ministerial statement: treaty should nonetheless be ratified (House of Commons),Ministerial statement: treaty should nonetheless be ratified,If either House approves a motion that a treaty should not be ratified then the Government can issue a statement stating that the treaty should be ratified regardless of the House's decision. This would trigger objection period B to start in the House of Commons. ,1,1,,4,Will likely follow the Commons rejection of a treaty (which does not stop the treaty dead like it does for statutory instruments),Written statement,Date of the statement,,1266,2sXm5fVO
121,Ministerial statement: treaty should nonetheless be ratified (House of Lords),Ministerial statement: treaty should nonetheless be ratified,If either House approves a motion that a treaty should not be ratified then the Government can issue a statement stating that the treaty should be ratified regardless of the House's decision. This would trigger objection period B to start in the House of Commons. ,1,2,,4,Will likely follow the Lords rejection of a treaty (which does not stop the treaty dead like it does for statutory instruments),Written statement,Date of the statement,,1267,rIdtq6te
122,Ministerial statement laid before the House of Commons: objection period A extended (House of Commons),Ministerial statement laid before the House of Commons: objection period A extended,Government can issue a statement if they wish to extend objection period A of a treaty subject to the Constitutional Reform and Governance Act 2010.  The statement can be laid at any point during objection period A as long as a motion to not ratify the treaty has not been approved in either House.  The objection period can also be extended multiple times. ,1,1,,4,"If this happens, the ""period a ends"" step is updated with the new date, and not actualised once more.",Gov.uk link if available otherwise Commons V&P anchor link. ,Date of statement,,1464,1O5qs3hp
123,Ministerial statement laid before the House of Lords: objection period A extended (House of Lords),Ministerial statement laid before the House of Lords: objection period A extended,Government can issue a statement if they wish to extend the objection period A of a treaty subject to the Constitutional Reform and Governance Act 2010.  The statement can be laid at any point during objection period A as long as a motion to not ratify the treaty has not been approved in either House.  The objection period can also be extended multiple times.,1,2,,4,"If this happens, the ""period a ends"" step is updated with the new date, and not actualised once more.","Gov.uk if link is available, otherwise Lords business paper link",Date of statement laid,,1463,PN8BA0EV
125,Objection period A ends,Objection period A ends,"The time available for both Houses to object to the treaty, if they wish. Usually 21 days from when the treaty is laid but the Government can issue a statement extending the period. During the objection period treaties can be withdrawn, while procedure concludes at that point it does not affect the objection period end date. ",1,,,4,Usually 21 days after treaty laid (please see scrutiny tabled) but can be extended by Govt or by agreed motion in the Lords. ,No link,See the scrutiny table for date ,,641,y3MuaSK6
127,Objection period B ends,Objection period B ends,"If the House of Commons resolves, within period A, that a treaty should not be ratified and a Minister has laid before Parliament a statement indicating the opinion that the treaty should  nevertheless be ratified then objection period B begins. Objection period B is the time available, 21 days, for the House of Commons to object to the treaty again, if they wish. Objection period B can occur multiple times. ",1,,,4,Actualise with a future date when clock starts. ,No link,See the scrutiny table ,,608,iCQRUZuA
128,Motion that the treaty should not be ratified approved (House of Commons),Motion that the treaty should not be ratified approved,"In the House of Commons, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. A motion to not ratify, if tabled and passed within 21 days (Period A - subject to extension) of the treaty being laid, could delay ratification due to a second period (Period B) of scrutiny starting in the House of Commons. ",1,1,,4,"This will usually follow a debate and the question being put. Note that this does not conclude the procedure like a similar motion in the statutory instrument procedures would, the likelihood is a following ministerial statement. ",Vote anchor link,Date of vote,116,872,j7lc77KS
129,Motion that the treaty should not be ratified approved (House of Lords),Motion that the treaty should not be ratified approved,"In the House of Lords, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. The motion, if approved or rejected, does not stop ratification of the treaty but the Government must provide a statement setting out why the treaty should be nonetheless ratified. ",1,2,,4,"This will usually follow a debate and the question being put. Note that this does not conclude the procedure like a similar motion in the statutory instrument procedures would, the likelihood is a following ministerial statement.",Lords minute individual link,Date of Lords minutes,117,873,1RMR5lzd
130,Motion that the treaty should not be ratified rejected (House of Commons),Motion that the treaty should not be ratified rejected,"In the House of Commons, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. A motion to not ratify, if tabled and passed within 21 days (Period A - subject to extension) of the treaty being laid, could delay ratification due to a second period (Period B) of scrutiny starting in the House of Commons. ",1,1,,4,Will follow a debate in the Commons and will be accompanied by the question step,Vote anchor link,Date of the vote,116,874,UsUhWI1R
131,Motion that the treaty should not be ratified rejected (House of Lords),Motion that the treaty should not be ratified rejected,"In the House of Lords, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. The motion, if approved or rejected, does not stop ratification of the treaty but the Government must provide a statement setting out why the treaty should be nonetheless ratified. ",1,2,,4,Will follow a debate in the Lords and will be accompanied by the question step,Lords minute individual link,Lords Minute date,117,875,StzWeGjF
132,Motion that the treaty should not be ratified tabled (House of Commons),Motion that the treaty should not be ratified tabled,"In the House of Commons, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. A motion to not ratify, if tabled and passed within 21 days (Period A - subject to extension) of the treaty being laid, could delay ratification due to a second period (Period B) of scrutiny starting in the House of Commons. ",1,1,,"7, 4",These can be tabled at any time during objection periods A or B. Debates will usually be scheduled as a result of the tabling. ,EDM link,Date of the EDM,,876,443aMXaZ
133,Motion that the treaty should not be ratified tabled (House of Lords),Motion that the treaty should not be ratified tabled,"In the House of Lords, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. The motion, if approved or rejected, does not stop ratification of the treaty but the Government must provide a statement setting out why the treaty should be nonetheless ratified. ",1,2,,"7, 4",These can be tabled at any time during objection period A. Debates will usually be scheduled as a result of the tabling. ,Lords prayer in the LBP (Individual link) or PDF if not quick enough,Date the prayer first appeared in the LBP,,877,3wIKRs06
134,Motion that the treaty should not be ratified withdrawn (House of Commons),Motion that the treaty should not be ratified withdrawn,"In the House of Commons, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. A motion to not ratify, if tabled and passed within 21 days (Period A - subject to extension) of the treaty being laid, could delay ratification due to a second period (Period B) of scrutiny starting in the House of Commons. ",1,1,,4,Motions can be withdrawn at anytime before they're debated but they can also be withdrawn at the end of the debate. It is worth keeping an eye on the EDM,Either the EDM itself if withdrawn before debate or V&P anchor if withdrawn post debate ,Date of the Vote/EDM. ,,878,KFlmTxbK
135,Motion that the treaty should not be ratified withdrawn (House of Lords),Motion that the treaty should not be ratified withdrawn,"In the House of Lords, Members can table a motion to not ratify a treaty subject to the Constitutional Reform and Governance Act 2010 procedure. The motion, if approved or rejected, does not stop ratification of the treaty but the Government must provide a statement setting out why the treaty should be nonetheless ratified. The motion can be withdrawn at any point between tabling and the Question being put. ",1,2,,4,Motions can be withdrawn at anytime before they're debated but they can also be withdrawn at the end of the debate. It is worth keeping an eye on the LBP to make sure the motion hasn't disappeared,"Link depends on the nature of withdrawal, if withdrawn before the debate there is no link, if withdrawn after the debate then the LBP minute. ",Date of Lords Minute/disappearance of motion from LBP,,879,k1lmUuuL
136,Treaty signed,Treaty signed,"This shows the text of the treaty. This step is not part of parliamentary procedure, it is an indicative starting step for the purposes of the Treaty Tracker website. ",1,,,"1, 4",Starts off the treaty procedure,Treaty on Gov.uk,Date on the treaty itself,,,H6GOB6yX
138,Treaty withdrawn from the House of Commons (House of Commons),Treaty withdrawn from the House of Commons,Government has withdrawn the treaty from the House of Commons and therefore the procedure relating to that treaty has concluded.,1,1,,4,This step concludes the procedure. ,V&P,Date of the V&P (or stated in the V&P),,1091,2ezottpW
2469,Non-fatal amendment to legislative consent motion tabled (Senedd Cymru),Non-fatal amendment to legislative consent motion tabled,,1,,3,,,,,,,tOpAxG9A
139,Treaty withdrawn from the House of Lords (House of Lords),Treaty withdrawn from the House of Lords,Government has withdrawn the treaty from the House of Lords and therefore procedure has concluded.,1,2,,4,This step concludes the procedure. ,LBP (Papers) - individual link,Date of the Lords Papers ,141,881,VJlr4CVZ
141,"Parliamentary scrutiny concluded, Government cannot ratify treaty (House of Commons, House of Lords)","Parliamentary scrutiny concluded, Government cannot ratify treaty",Parliamentary scrutiny has concluded for this treaty and Government cannot proceed to ratification. It is unlikely that any further scrutiny will occur.,1,"1, 2",,"2, 3, 4",Can only occur if the Government withdraws the treaty,No link,Date treaty has been withdrawn by Government ,,,ypryR1wZ
142,"Parliamentary scrutiny concluded, Government can ratify treaty (House of Commons, House of Lords)","Parliamentary scrutiny concluded, Government can ratify treaty",Parliamentary scrutiny has concluded for this treaty and Government can now proceed to ratification within any other conditions that may or may not be required. It is unlikely that any further parliamentary scrutiny will occur.,1,"1, 2",,"2, 3, 4",Follows the end of objection period A or B if no other business has occurred during that clock period. Or follows a motion tabled to stop the Government ratifying has been rejected.,No link,End of objection period A or B or when a motion has been rejected.,,,qkrlv9rh
143,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords),Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),Instrument considered by the Secondary Legislation Scrutiny Committee which raised no concerns but felt the instrument substantive enough it warranted an information paragraph.,1,2,,"5, 4","Instruments noted as of interest will appear under the report heading ""Instruments of Interest"" We will first see notice of the report in the Vote/LBP on a Wednesday but the report will be published on a Thursday so we actualise retrospectively. If the SLSC includes a previously considered instrument in another report with a different outcome please check with Jane White. While this is possible it is not considered usual practice and must be checked before we actualise any further steps. ",SLSC Report - anchor link to specific SI,Date the SLSC met (usually a Tuesday or Wednesday depending on which Sub-Comm).,19,1476,Dxba45JM
144,Considered by the International Trade Committee (ITC) (House of Commons),Considered by the International Trade Committee (ITC),"Most inquiries result in a report to the House, containing recommendations to the department, the wider Government, and sometimes other organisations such as arms-length agencies or regulators.",1,1,,,Treaties can be considered by multiple select committees with different interests ,Select Committee report contents page,Date the committee met rather than the date the committee published the report ,"145, 146, 246, 254, 1884, 1885",1092,xAY6uQCK
145,International Trade Committee (ITC) recommended the treaty should not be ratified (House of Commons),International Trade Committee (ITC) recommended the treaty should not be ratified,"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. ",1,1,,"5, 4",Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing",144,1297,PecK8a8g
146,International Trade Committee (ITC) recommended a general debate (House of Commons),International Trade Committee (ITC) recommended a general debate,"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. ",1,1,,"5, 4",Suspect this will come from the report itself,Select committee report,"Date select committee met, not date of report publishing",144,1240,HUKVUDie
148,General debate (House of Commons),General debate,The House of Commons can hold a general debate to discuss a treaty subject to the Constitutional Reform and Governance Act 2010. The formal outcome of a general debate has no procedural implications for the treaty..,1,1,,"6, 4","Actualise this step when it is scheduled on the Parliamentary Calendar or Future Business so it appears in 'Scheduled upcoming stages' on the workpackage page. The link will need to be updated once the debate has taken place. If it's rescheduled, change the date. Note that debates can take place as an adjournment or backbench debate in the Chamber or as a Westminster Hall debate. ",Hansard,Date of debate,,886,CTPcJybs
1454,Ministerial statement announcing the publication of the draft (House of Lords),Ministerial statement announcing the publication of the draft,"A ministerial statement may be made, usually as a written statement, to Parliament when a published draft under Paragraph 14 of Schedule 8 to the European Union (Withdrawal) Act 2018 is made available. ",1,2,,4,A written statement might appear at the time a notification of a published draft has been laid before both Houses. It might only appear in one House. ,Written statement ,Date the written statement was made ,,1043,uOTlocVd
150,Motion calling on the Government to extend objection period A tabled (House of Lords),Motion calling on the Government to extend objection period A tabled,"In the House of Lords, Members can table a motion to extend objection period A. A motion to extend, if tabled and passed within 21 days (Period A - subject to extension) of the treaty being laid, does not have to be actioned or acknowledged by the Government.
",1,2,,"7, 4",These motions can be tabled at any stage during objection period A and could lead to a debate and question. ,LBP (if not quick enough to get the html link then the PDF),Date the motion was tabled ,,887,5BnNJmeA
1502,Motion to stop the instrument becoming law lapsed at end of session (House of Lords),Motion to stop the instrument becoming law lapsed at end of session,At the end of a Parliamentary session all outstanding motions lapse which means the question will not be put before the House. Government and Members would need to table the motions again in the new session if they wanted to see a resolution. ,1,2,,4,All motions lapse at the end of session.,LBP or if Parliament is dissolved then the proclamation that appears in the Gazette. ,Prorogation/dissolution date,,1054,vaQK8FD2
151,Allocated to the EU Select Committee (House of Lords),Allocated to the EU Select Committee,Until 2020 treaties could be allocated to any of the House of Lords European Select Committee sub-committees or the wider committee as a whole for consideration within their terms of reference.,1,2,,4,"EU Committee comprises the EU Select Committee and six topic focused sub-committees. The EU Select Committee oversees the work of the sub-committees. These seven committees may consider, however the 6 sub-committees do not have the power to report - reports are made in the name of EU Committee.",EU Select Committee treaties page,Usually the day after the treaty is laid,,888,YbkCQlpA
152,Allocated to the EU Financial Affairs Sub-Committee (House of Lords),Allocated to the EU Financial Affairs Sub-Committee,Until 2020 treaties could be allocated to any of the House of Lords European Select Committee sub-committees or the wider committee as a whole for consideration within their terms of reference.,1,2,,4,"As of April 2020 this step is unlikely to be actualised. The new International Agreements sub-committee, or the whole committee, will deal exclusively with treaties subject to crag. EU Committee comprises the EU Select Committee and six topic focussed sub-commitees. The EU Select Committee oversees the work of the sub-committees. These seven committees may consider, however the 6 sub-commitees do not have the power to report - reports are made in the name of EU Committee.",EU Select Committee treaties page,Usually the day after the treaty is laid,,889,9jcgOmx6
