id,name,description,displayorder,procedurehascalculationstyle,triplestoreid
12,Local Government Finance Report,,39,,to26jAxE
13,CRAG Treaty Lords Committee,,50,,a88v87y7
15,CRAG Treaty JCHR,,53,,q42AXb3t
16,CRAG Treaty IAC+EAC,,54,,r66QlB5Y
26,CRAG Treaty ITC,,56,,Xi2z3U8E
28,Joint Committee on Statutory Instruments (JCSI),,40,,y2jlrQHV
29,CRAG Treaty EFRA,,57,,PAREo4vo
33,UK Public Bills,"A bill is a proposal for a new law, or a proposal to change an existing law that is presented for debate before Parliament. Bills are introduced in either the House of Commons or House of Lords for examination, discussion, and amendment. When both Houses have agreed on the content of a bill it is presented to the reigning monarch for approval (known as Royal Assent). After Royal Assent is given a bill becomes an Act of Parliament and is law. A UK public bill is a bill that has a general effect in some or all the constituent parts of the UK. ",15,,pWKSg0gl
37,Queen's consent,,16,,BVXfjPCq
39,Prince of Wales's consent,,17,,wu1umwQp
40,Great Steward of Scotland's consent,,18,,N0wGCkVi
41,Commons first reading,,19,,TKoIB3wb
42,Proposed draft remedial order,"Remedial orders are a type of statutory instrument. Under the Human Rights Act 1998, courts can declare Acts of Parliament incompatible with the European convention on human rights. The Government can use remedial orders to amend Acts to remove the incompatibility.  A minister formally presents by laying a proposal for a draft remedial order. Parliament has 60 days to consider the proposal. The Joint Committee on Human Rights (a Committee of Members of the Commons and Lords) also scrutinises the proposal.  At the end of the 60-day period, the minister can lay a draft remedial order. The minister has to report details of any representations made during the 60 days and any changes made to the proposal.",8,1,OvnVdtXG
43,Draft affirmative remedial order,"A remedial order is an order made by a minister under the Human Rights Act 1998 to amend legislation which has been found incompatible with the European Convention on Human Rights. Remedial orders can be used to amend both primary and secondary legislation, and they may do anything necessary to fix the incompatibility with the Convention rights.  Draft remedial orders are considered by the Joint Committee on Human Rights and then need to be approved by both Houses to become law.",9,1,1HAWKzS2
44,Commons ten minute rule bill,,20,,Ir0uTlIX
45,Made affirmative remedial order,"A remedial order is an order made by a minister under the Human Rights Act 1998 to amend legislation which has been found incompatible with the European Convention on Human Rights. Remedial orders can be used to amend both primary and secondary legislation, and they may do anything necessary to fix the incompatibility with the Convention rights. Urgent orders may be made without advance scrutiny, but they will stop being law if they are not approved by both Houses within 120 days of being laid before Parliament.",10,1,iAISgq1R
46,Legislative Consent Motion - Scottish Parliament,,21,,6J4vIkHl
47,Legislative Reform Order,"Legislative Reform Orders (LROs) are a specific type of delegated legislation that the Government can use to remove or reduce burdens that result directly or indirectly from legislation, or to promote principles of better regulation. They are made under terms set out in the Legislative and Regulatory Reform Act 2006 and are subject to scrutiny by a special committee in each House.",7,2,kgFvgMIf
48,Legislative reform order: Draft negative,,60,,0g8JqRKX
49,Legislative reform order: Draft affirmative,,61,,XwRdXhdV
50,Legislative reform order: Lords procedure determination,,62,,meSrUdup
51,Legislative reform order: Commons procedure determination,,63,,TDAfUhJs
52,Legislative reform order: Lords committee consideration,,64,,Gcmptq78
53,Legislative reform order: Commons committee consideration,,65,,h8um2RcQ
55,Legislative reform order: Lords debates,,66,,QphyqYDL
56,CRAG Treaty NIAC,,51,,EOdm38mm
57,Legislative Consent Motion - Senedd Cymru,,23,,Z0zMk6F7
58,Legislative Consent Motion - Northern Ireland Assembly,,22,,9f4uTpRT
60,DPRRC scrutiny reserve,,67,,6cXS1d0v
61,CRAG Treaty Business and Trade Committee,,52,,GMnnFGmR
62,CRaG Treaty pre-laying scrutiny,,55,,R8oDwdeY
64,CRAG Treaty PAC,,54,,BrFonVHh
65,CRAG Treaty other commons committees,,55,,TKmBNPtQ
66,CRAG Treaty HAC,,58,,ukQX5dUZ
67,Draft affirmative:  Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve,,60,,DB2Pud1m
69,Made affirmative:  Commons motions,,68,,Cejma7zC
70,Draft affirmative: Lords motions,,69,,oMkNXay7
71,Made negative: Referral to a Delegated Legislation Committee (DLC),,70,,0lTeVj1H
72,Made negative: Commons motions,,71,,g5pzLJuJ
73,Made negative - Commons motion to consider,,73,,TT4LlWHi
74,Made negative: Lords motions,,74,,8NxeCe90
75,Enhanced affirmative: Investigatory Powers Act 2016," Instruments subject to the enhanced affirmative procedure under the Investigatory Powers Act 2016 are laid in draft and require approval in Parliament before being signed into law. Unlike the normal draft affirmative procedure, instruments laid under the enhanced affirmative procedure are subject to a clock period of 40 or 60 days. The Commons debates the instrument in a Delegated Legislation Committee or in the Commons Chamber, where a decision on approval is made. The Lords debates the instrument in Grand Committee or in the Lords Chamber, where a decision on approval is made.",11,2,dWV8Yjj6
76,Scrutiny Reserve - Joint Committee on Human Rights (JCHR),,60,,CisA7G2J
77,Proposed negative statutory instruments: Commons committees,,101,,mxxnneEz
78,Draft negative: Commons motions,,70,,hrJYrGBa
79,Draft negative: Referral to a Delegated Legislation Committee (DLC),,72,,n1cwCAM5
80,Draft negative - Commons motion to consider,,75,,bcHA3ujX
81,Draft negative: Lords motions,,81,,0cW7qCcg
82,Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve,,61,,HHtm6lV2
83,Draft affirmative: Commons motions,,69,,ecbeGCZ9
84,Made affirmative: Lords motions,,70,,ry9EEfnt
