id,triplestoreid,inprocedure,label,fromstep,tostep
1969,wEhKnXRL,2,Route from AD Decision to Ministerial statement of disagreement with sifting recommendation (House of Commons) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:298,urn:procedure-editor:BusinessStep:113
1970,VHuVmoDi,2,Route from Ministerial statement of disagreement with sifting recommendation (House of Commons) to AG NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:113,urn:procedure-editor:Step:297
1971,QvdiyA2A,2,Route from AG NOT to AF AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:297,urn:procedure-editor:Step:296
1972,CJuZLApb,2,Route from Secondary Legislation Scrutiny Committee (SLSC) recommended the instrument should follow the affirmative procedure (House of Lords) to AE OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:81,urn:procedure-editor:Step:295
1973,etbPLEEw,2,Route from Committee sifting period ends to AB OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:71,urn:procedure-editor:Step:286
1974,OemfVVf2,2,Route from Considered by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) to AP AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:19,urn:procedure-editor:Step:299
1975,3da03OQc,2,Route from Proposed negative statutory instrument withdrawn from the House of Commons (House of Commons) to AH OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:109,urn:procedure-editor:Step:304
1976,pEqU0ACh,2,Route from Laid before the House of Commons (House of Commons) to AN AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:326
1977,VP6nLlzA,2,Route from Proposed negative statutory instrument created to AH AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:99,urn:procedure-editor:Step:305
1978,RImyF9GJ,2,Route from PNSICC AC Summation to AM OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:4002,urn:procedure-editor:Step:322
1979,bQgTah8R,2,Route from Laid before the House of Lords (House of Lords) to AN AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:326
1980,9YJv2OnW,2,Route from AN AND to AO AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:326,urn:procedure-editor:Step:327
1982,vxcAt7cb,2,Route from AO NOT to AO AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:328,urn:procedure-editor:Step:327
1984,Z6pdyxwI,2,Route from AO AND to Committee sifting period ends in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:327,urn:procedure-editor:BusinessStep:71
1986,67ggOCa9,2,Route from Committee sifting period ends to AH OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:71,urn:procedure-editor:Step:304
1987,AiH3L6z6,2,Route from AH OR to AG OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:304,urn:procedure-editor:Step:303
1988,2KaMaejs,2,Route from AG OR to AF OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:303,urn:procedure-editor:Step:302
1989,RM3DDVUB,2,Route from Proposed negative statutory instrument withdrawn from the House of Lords (House of Lords) to AG OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:108,urn:procedure-editor:Step:303
1991,cY3MTRuC,2,Route from Laid before the House of Lords (House of Lords) to AI NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:306
1993,pQzgYPzV,2,Route from Laid before the House of Lords (House of Lords) to AI AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:307
1994,hqPO6Ib5,2,Route from AI AND to AE Decision in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:307,urn:procedure-editor:Step:309
1995,zHIiXm3b,2,Route from AE Decision to Proposed negative statutory instrument withdrawn from the House of Lords (House of Lords) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:309,urn:procedure-editor:BusinessStep:108
1996,9hzAmqDX,2,Route from Proposed negative statutory instrument withdrawn from the House of Lords (House of Lords) to AJ NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:108,urn:procedure-editor:Step:308
1997,BBcDS9co,2,Route from AJ NOT to AI AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:308,urn:procedure-editor:Step:307
1998,TzX02zVo,2,Route from Proposed negative statutory instrument withdrawn from the House of Lords (House of Lords) to AJ OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:108,urn:procedure-editor:Step:313
1999,1Pcz9hOY,2,Route from AJ Decision to AI OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:490,urn:procedure-editor:Step:312
2000,x8u2KtDq,2,Route from Laid before the House of Lords (House of Lords) to AJ AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:310
2001,8Qyr3FId,2,Route from AJ AND to AI OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:310,urn:procedure-editor:Step:312
2003,MwCl4Tlw,2,Route from AI OR to AT AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:312,urn:procedure-editor:Step:332
2004,YIMpKDPP,2,Route from AK NOT to AJ AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:311,urn:procedure-editor:Step:310
2008,M2gm4XhN,2,Route from PNSI AC Summation to Secondary Legislation Scrutiny Committee (SLSC) agreed the instrument should follow the negative procedure (House of Lords) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:3068,urn:procedure-editor:BusinessStep:98
2018,5oN405Az,2,Route from PNSI AC Summation to Secondary Legislation Scrutiny Committee (SLSC) recommended the instrument should follow the affirmative procedure (House of Lords) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:3068,urn:procedure-editor:BusinessStep:81
2019,mtJobkB6,2,Route from Secondary Legislation Scrutiny Committee (SLSC) recommended the instrument should follow the affirmative procedure (House of Lords) to AM OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:81,urn:procedure-editor:Step:322
2020,YWX79fqV,2,Route from AM OR to AM AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:322,urn:procedure-editor:Step:323
2021,GyMjka6P,2,Route from AM AND to AH Decision in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:323,urn:procedure-editor:Step:324
2022,l6i9lyIz,2,Route from AH Decision to Ministerial statement of disagreement with sifting recommendation (House of Lords) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:324,urn:procedure-editor:BusinessStep:114
2023,jD44tmTb,2,Route from Ministerial statement of disagreement with sifting recommendation (House of Lords) to AN NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:114,urn:procedure-editor:Step:325
2024,jVRE2yE7,2,Route from AN NOT to AM AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:325,urn:procedure-editor:Step:323
2027,DDllIDnz,2,Route from AH AND to Laid before the House of Lords (House of Lords) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:305,urn:procedure-editor:BusinessStep:12
2030,Iju57xY6,2,Route from AI NOT to AH AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:306,urn:procedure-editor:Step:305
2036,rq3wrfrt,77,Route from PNSICC AD OR to PNSICC AB AND in the Proposed negative statutory instruments: Commons committees procedure,urn:procedure-editor:Step:3994,urn:procedure-editor:Step:3991
2038,7h5U73lI,2,Route from Committee sifting period ends to AO NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:71,urn:procedure-editor:Step:328
2039,FS3hOkhb,2,Route from Committee sifting period ends to AJ OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:71,urn:procedure-editor:Step:313
2082,ubZlmiZx,4,Route from Instrument made (signed into law) to AC AND in the Made negative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:283
2083,DrpxiAPB,4,Route from AC AND to AA Decision in the Made negative procedure,urn:procedure-editor:Step:283,urn:procedure-editor:Step:281
2084,IAWM7h6D,4,Route from AA Decision to Instrument revoked by another instrument in the Made negative procedure,urn:procedure-editor:Step:281,urn:procedure-editor:BusinessStep:230
2085,lYmGYGWu,4,Route from Instrument revoked by another instrument to AC NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:230,urn:procedure-editor:Step:282
2086,eZJyLIDi,4,Route from AC NOT to AC AND in the Made negative procedure,urn:procedure-editor:Step:282,urn:procedure-editor:Step:283
2087,8mRo44sH,4,Route from Instrument revoked by another instrument to AD AND in the Made negative procedure,urn:procedure-editor:BusinessStep:230,urn:procedure-editor:Step:287
2088,L8VvnVa6,4,Route from AD AND to AB Decision in the Made negative procedure,urn:procedure-editor:Step:287,urn:procedure-editor:Step:293
2089,5IBaVEgN,4,Route from AB Decision to Instrument replaced by revoking instrument in the Made negative procedure,urn:procedure-editor:Step:293,urn:procedure-editor:BusinessStep:231
2090,kHBH7wt1,4,Route from Instrument replaced by revoking instrument to AD NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:231,urn:procedure-editor:Step:284
2091,apcZIbCi,4,Route from AD NOT to AD AND in the Made negative procedure,urn:procedure-editor:Step:284,urn:procedure-editor:Step:287
2092,n4zLalk9,4,Route from Instrument made (signed into law) to CF AND in the Made negative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:371
2093,ZByGmGOw,4,Route from Instrument made (signed into law) to AI AND in the Made negative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:307
2094,Jdr3aWJE,4,Route from Instrument made (signed into law) to AE AND in the Made negative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:288
2095,EOJFxDz9,4,Route from AE NOT to AF AND in the Made negative procedure,urn:procedure-editor:Step:289,urn:procedure-editor:Step:296
2096,nk4GFnAp,4,Route from AF AND to AC Decision in the Made negative procedure,urn:procedure-editor:Step:296,urn:procedure-editor:Step:294
2097,B7Uqms5u,4,Route from AC Decision to Instrument comes into force as law in the Made negative procedure,urn:procedure-editor:Step:294,urn:procedure-editor:BusinessStep:9
2098,9Ldbs3Is,4,Route from Instrument comes into force as law to AE NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:9,urn:procedure-editor:Step:289
2099,GOGhMmCK,4,Route from AE AND to AF AND in the Made negative procedure,urn:procedure-editor:Step:288,urn:procedure-editor:Step:296
2100,s3QXelJH,4,Route from AF NOT to AE AND in the Made negative procedure,urn:procedure-editor:Step:292,urn:procedure-editor:Step:288
2101,jZoiadi2,4,Route from Instrument stops being law to AF NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:44,urn:procedure-editor:Step:292
2102,vOPpckF2,4,Route from Instrument comes into force as law to CG AND in the Made negative procedure,urn:procedure-editor:BusinessStep:9,urn:procedure-editor:Step:372
2103,z8Sa0uls,4,Route from Instrument comes into force as law to AJ AND in the Made negative procedure,urn:procedure-editor:BusinessStep:9,urn:procedure-editor:Step:310
2108,JoDfJWnP,4,Route from Instrument introducing one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 created to AG AND in the Made negative procedure,urn:procedure-editor:BusinessStep:233,urn:procedure-editor:Step:300
2109,akuSFMli,4,Route from Instrument introducing one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 created to AH AND in the Made negative procedure,urn:procedure-editor:BusinessStep:233,urn:procedure-editor:Step:305
2110,hPKItqk6,4,"Route from AG AND to Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 (House of Commons) in the Made negative procedure",urn:procedure-editor:Step:300,urn:procedure-editor:BusinessStep:234
2111,yvaDNfhw,4,"Route from Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 (House of Commons) to AH NOT in the Made negative procedure",urn:procedure-editor:BusinessStep:234,urn:procedure-editor:Step:301
2112,OdLupgsy,4,Route from AH NOT to AG AND in the Made negative procedure,urn:procedure-editor:Step:301,urn:procedure-editor:Step:300
2114,QhnAZRhw,4,Route from AH AND to AD Decision in the Made negative procedure,urn:procedure-editor:Step:305,urn:procedure-editor:Step:298
2115,TOTe1S2s,4,"Route from AD Decision to Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 (House of Lords) in the Made negative procedure",urn:procedure-editor:Step:298,urn:procedure-editor:BusinessStep:235
2116,hLXho06k,4,"Route from Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 (House of Lords) to AI NOT in the Made negative procedure",urn:procedure-editor:BusinessStep:235,urn:procedure-editor:Step:306
2117,QqR6hI3D,4,Route from AI NOT to AH AND in the Made negative procedure,urn:procedure-editor:Step:306,urn:procedure-editor:Step:305
2118,FMfGWwgm,4,Route from MN AP Summation to AJ OR in the Made negative procedure,urn:procedure-editor:Step:1878,urn:procedure-editor:Step:313
2119,PnHrdRbl,4,Route from MN AM Summation to AL AND in the Made negative procedure,urn:procedure-editor:Step:1168,urn:procedure-editor:Step:315
2120,b5brs93j,4,Route from Instrument revoked by another instrument to AP OR in the Made negative procedure,urn:procedure-editor:BusinessStep:230,urn:procedure-editor:Step:419
2121,Ydtbn8OR,4,Route from MN AM Summation to CB AND in the Made negative procedure,urn:procedure-editor:Step:1168,urn:procedure-editor:Step:367
2123,dOw1V8RL,4,Route from MN AM Summation to CK AND in the Made negative procedure,urn:procedure-editor:Step:1168,urn:procedure-editor:Step:376
2125,wfdIDwen,4,Route from Laid before the House of Commons (House of Commons) to AX OR in the Made negative procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:427
2126,DAArAfLn,4,Route from AX OR to DG AND in the Made negative procedure,urn:procedure-editor:Step:427,urn:procedure-editor:Step:398
2127,xFHDmK2I,4,Route from Laid before the House of Lords (House of Lords) to AX OR in the Made negative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:427
2129,ydUgS5ID,4,Route from DG AND to Objection period ends in the Made negative procedure,urn:procedure-editor:Step:398,urn:procedure-editor:BusinessStep:64
2130,y7lZpkg4,4,Route from Objection period ends to DH NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:64,urn:procedure-editor:Step:486
2131,J3YIijm2,4,Route from DH NOT to DG AND in the Made negative procedure,urn:procedure-editor:Step:486,urn:procedure-editor:Step:398
2132,QfhdJ1Hq,4,Route from Objection period ends to DI AND in the Made negative procedure,urn:procedure-editor:BusinessStep:64,urn:procedure-editor:Step:400
2135,KHQ5KOeN,4,Route from MN AP Summation to DI NOT in the Made negative procedure,urn:procedure-editor:Step:1878,urn:procedure-editor:Step:487
2136,nUdzb23q,4,Route from DI NOT to DI AND in the Made negative procedure,urn:procedure-editor:Step:487,urn:procedure-editor:Step:400
2140,LbkfM3lZ,4,Route from Objection period ends to AJ OR in the Made negative procedure,urn:procedure-editor:BusinessStep:64,urn:procedure-editor:Step:313
2142,NPlYmlcY,4,Route from MN AF Summation to BT AND in the Made negative procedure,urn:procedure-editor:Step:1102,urn:procedure-editor:Step:359
2143,lvwlE8sU,4,Route from Objection period ends to AN OR in the Made negative procedure,urn:procedure-editor:BusinessStep:64,urn:procedure-editor:Step:417
2146,O79HrF9G,4,Route from Motion (prayer) to stop the instrument being law approved (House of Lords) to AQ OR in the Made negative procedure,urn:procedure-editor:BusinessStep:13,urn:procedure-editor:Step:420
2147,tHbmwVv1,4,Route from Motion (prayer) to stop the instrument being law approved (House of Commons) to AQ OR in the Made negative procedure,urn:procedure-editor:BusinessStep:35,urn:procedure-editor:Step:420
2148,qiZOzzzH,4,Route from AQ OR to MN AQ Summation in the Made negative procedure,urn:procedure-editor:Step:420,urn:procedure-editor:Step:3730
2150,kpADpo1f,4,Route from Laid before the House of Commons (House of Commons) to CA AND in the Made negative procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:366
2151,PJw0qU34,4,Route from Laid before the House of Lords (House of Lords) to CA AND in the Made negative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:366
2152,E1hAdhl3,4,Route from CA AND to MN AV Summation in the Made negative procedure,urn:procedure-editor:Step:366,urn:procedure-editor:Step:3809
2154,o6sqcZqG,4,Route from CB AND to BN OR in the Made negative procedure,urn:procedure-editor:Step:367,urn:procedure-editor:Step:1464
2155,q3ExBfZf,4,"Route from CC AND to Considered by the Joint Committee on Statutory Instruments (JCSI) (House of Commons, House of Lords) in the Made negative procedure",urn:procedure-editor:Step:368,urn:procedure-editor:BusinessStep:8
2156,De7MSSzR,4,"Route from Considered by the Joint Committee on Statutory Instruments (JCSI) (House of Commons, House of Lords) to CC NOT in the Made negative procedure",urn:procedure-editor:BusinessStep:8,urn:procedure-editor:Step:456
2157,6ESYQcW4,4,Route from CC NOT to CC AND in the Made negative procedure,urn:procedure-editor:Step:456,urn:procedure-editor:Step:368
2172,Dex0N8jy,4,Route from MN AP Summation to AN OR in the Made negative procedure,urn:procedure-editor:Step:1878,urn:procedure-editor:Step:417
2176,y28P8dMe,4,Route from AN OR to DK AND in the Made negative procedure,urn:procedure-editor:Step:417,urn:procedure-editor:Step:402
2177,wOrIegHJ,4,Route from Laid before the House of Lords (House of Lords) to DK AND in the Made negative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:402
2178,UaGsdhGO,4,Route from DK AND to DJ AND in the Made negative procedure,urn:procedure-editor:Step:402,urn:procedure-editor:Step:401
2179,076ap4IK,4,"Route from DJ AND to Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords) in the Made negative procedure",urn:procedure-editor:Step:401,urn:procedure-editor:BusinessStep:111
2180,s1EMrt5T,4,"Route from Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords) to CF NOT in the Made negative procedure",urn:procedure-editor:BusinessStep:111,urn:procedure-editor:Step:459
2181,I4gycV3L,4,Route from CF NOT to DJ AND in the Made negative procedure,urn:procedure-editor:Step:459,urn:procedure-editor:Step:401
2182,He97LziA,4,Route from Laid before the House of Commons (House of Commons) to AK NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:311
2183,WbG36wYs,4,Route from AK NOT to AJ AND in the Made negative procedure,urn:procedure-editor:Step:311,urn:procedure-editor:Step:310
2184,0ZMeQVBW,4,Route from AJ AND to Communication declaring the instrument had come into operation before being laid before Parliament (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:310,urn:procedure-editor:BusinessStep:200
2185,sojH8Uvt,4,Route from Laid before the House of Commons (House of Commons) to AJ NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:308
2186,nITKzx86,4,Route from AJ NOT to AI AND in the Made negative procedure,urn:procedure-editor:Step:308,urn:procedure-editor:Step:307
2187,tgN8xLGG,4,Route from AI AND to Laid before the House of Commons (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:307,urn:procedure-editor:BusinessStep:4
2188,Q5THHSc8,4,Route from Laid before the House of Commons (House of Commons) to AK AND in the Made negative procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:314
2190,2yKxnpjH,4,Route from Laid before the House of Lords (House of Lords) to AN NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:325
2191,jGS1I6sa,4,Route from AN NOT to AK AND in the Made negative procedure,urn:procedure-editor:Step:325,urn:procedure-editor:Step:314
2192,WcmBY0qm,4,Route from AK AND to MN AU Summation in the Made negative procedure,urn:procedure-editor:Step:314,urn:procedure-editor:Step:3808
2194,PTi09x3A,4,Route from AL AND to BM OR in the Made negative procedure,urn:procedure-editor:Step:315,urn:procedure-editor:Step:1463
2195,1xe6EQ2t,4,Route from AM AND to Considered by the Select Committee on Statutory Instruments (SCSI) (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:323,urn:procedure-editor:BusinessStep:10
2196,SX3XWnHm,4,Route from Considered by the Select Committee on Statutory Instruments (SCSI) (House of Commons) to AM NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:10,urn:procedure-editor:Step:319
2197,gV8v3iAr,4,Route from AM NOT to AM AND in the Made negative procedure,urn:procedure-editor:Step:319,urn:procedure-editor:Step:323
2216,PU0t6YVP,2,Route from AA AND to Laid before the House of Commons (House of Commons) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:538,urn:procedure-editor:BusinessStep:4
2217,XavPLBdO,2,Route from Proposed negative statutory instrument created to AA AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:99,urn:procedure-editor:Step:538
2222,xdhjZiKC,2,Route from AB NOT to AA AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:539,urn:procedure-editor:Step:538
2223,GvcQnOlU,2,Route from Laid before the House of Commons (House of Commons) to AB NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:539
2225,Qt8mW0C5,4,Route from Instrument made (signed into law) to AB NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:539
2226,aeBpft0h,2,Route from AC NOT to AB AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:282,urn:procedure-editor:Step:540
2227,YrT2EMZw,2,Route from AB AND to AA Decision in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:540,urn:procedure-editor:Step:281
2228,2c0lSbvX,2,Route from Laid before the House of Commons (House of Commons) to AB AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:540
2229,zMVPov8H,4,Route from AB NOT to AB AND in the Made negative procedure,urn:procedure-editor:Step:539,urn:procedure-editor:Step:540
2230,dVjZXXdT,4,Route from AB AND to Instrument made (signed into law) in the Made negative procedure,urn:procedure-editor:Step:540,urn:procedure-editor:BusinessStep:15
2231,xjF0w346,4,Route from MN AN Summation to AB AND in the Made negative procedure,urn:procedure-editor:Step:1460,urn:procedure-editor:Step:540
2289,n5dE8fOo,4,Route from AS AND to AJ Decision in the Made negative procedure,urn:procedure-editor:Step:331,urn:procedure-editor:Step:490
2290,bUt74xKU,4,Route from Considered for English votes for English laws (EVEL) certification (House of Commons) to AT NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:34,urn:procedure-editor:Step:409
2291,pO1YbwVo,4,Route from AT NOT to AS AND in the Made negative procedure,urn:procedure-editor:Step:409,urn:procedure-editor:Step:331
2292,PR614Dl6,4,Route from AJ Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:490,urn:procedure-editor:BusinessStep:34
2379,CXHc50Qa,4,Route from Laid before the House of Lords (House of Lords) to BZ NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:453
2381,N2gVbxOT,4,Route from EY AND to AU Decision in the Made negative procedure,urn:procedure-editor:Step:3296,urn:procedure-editor:Step:501
2382,nuVrYIku,4,Route from AU Decision to Delegated Legislation Committee (DLC) debate (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:501,urn:procedure-editor:BusinessStep:38
2387,1GQkIv9P,4,Route from MN AS Summation to AV Decision in the Made negative procedure,urn:procedure-editor:Step:3732,urn:procedure-editor:Step:502
2388,Tr9UF9y7,4,Route from AV Decision to Chamber debate (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:502,urn:procedure-editor:BusinessStep:23
2413,Q9ZMb61H,4,Route from BT AND to AX Decision in the Made negative procedure,urn:procedure-editor:Step:359,urn:procedure-editor:Step:504
2414,os7sx9wy,4,Route from AX Decision to Question on motion (prayer) to stop the instrument being law put (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:504,urn:procedure-editor:BusinessStep:22
2433,S17nOUFr,4,Route from Motion (prayer) to stop the instrument being law approved (House of Commons) to BY NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:35,urn:procedure-editor:Step:452
2434,ylGUoikf,4,Route from BY NOT to BX AND in the Made negative procedure,urn:procedure-editor:Step:452,urn:procedure-editor:Step:363
2439,q9xbfip6,4,Route from AJ OR to BY AND in the Made negative procedure,urn:procedure-editor:Step:313,urn:procedure-editor:Step:364
2440,R91zOGcy,4,Route from BZ NOT to BY AND in the Made negative procedure,urn:procedure-editor:Step:453,urn:procedure-editor:Step:364
2441,QwWwpgnU,4,Route from BY AND to BZ AND in the Made negative procedure,urn:procedure-editor:Step:364,urn:procedure-editor:Step:365
2442,RLOP2j0c,4,Route from BZ AND to Procedure concluded in the House of Commons (House of Commons) in the Made negative procedure,urn:procedure-editor:Step:365,urn:procedure-editor:BusinessStep:110
2443,e3QzYGn8,4,Route from Procedure concluded in the House of Commons (House of Commons) to CA NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:110,urn:procedure-editor:Step:454
2444,svtlBPx5,4,Route from CA NOT to BZ AND in the Made negative procedure,urn:procedure-editor:Step:454,urn:procedure-editor:Step:365
2445,mOy8faZw,4,Route from Laid before the House of Lords (House of Lords) to CG NOT in the Made negative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:460
2446,OeLaa3lz,4,Route from CG NOT to CG AND in the Made negative procedure,urn:procedure-editor:Step:460,urn:procedure-editor:Step:372
