id,label,forbusinessstep,depthinprocedure,displaydepth,triplestoreid
44,Procedure concluded in the House of Commons has step depth 30 in the Made affirmative procedure,110,1,30,MKdeXJpI
45,Procedure concluded in the House of Commons and the House of Lords has step depth 30 in the Made affirmative procedure,111,1,30,8EzhHF7F
46,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Made affirmative procedure,143,1,6.099999904632568,An7uaTYj
47,Non-fatal motion to object to the instrument not moved has step depth 20 in the Made affirmative procedure,188,1,20,UVd2eoGs
48,Communication declaring the instrument had come into operation before being laid before Parliament has step depth 3.0999999046325684 in the Made affirmative procedure,200,1,3.0999999046325684,nKBCrGLQ
49,Communication declaring the instrument had come into operation before being laid before Parliament has step depth 3.0999999046325684 in the Made affirmative procedure,201,1,3.0999999046325684,FudQSHsB
50,Motion to approve the instrument lapsed at end of session has step depth 14 in the Made affirmative procedure,213,1,14,xHaIWSXJ
51,Motion to approve the instrument lapsed at end of session has step depth 22 in the Made affirmative procedure,214,1,22,ZK6f9Q0u
52,Non-fatal motion to object to the instrument lapsed at end of session has step depth 20 in the Made affirmative procedure,215,1,20,FFYlEBfY
53,Instrument revoked by another instrument has step depth 27 in the Made affirmative procedure,230,1,27,X2uWKH3O
54,Instrument replaced by revoking instrument has step depth 28 in the Made affirmative procedure,231,1,28,JmGVw6oO
55,Instrument lapsed has step depth 26 in the Made affirmative procedure,232,1,26,DkUhIY6y
56,Instrument introducing one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 created has step depth 1 in the Made affirmative procedure,233,1,1,mAJGkSGx
57,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 3.200000047683716 in the Made affirmative procedure",234,1,3.200000047683716,QjEhMHhm
58,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 3.200000047683716 in the Made affirmative procedure",235,1,3.200000047683716,N5iAihVe
59,Instrument created under Section 55(3) in conjunction with Section 56(5) of the Sanctions and Anti-money Laundering Act 2018 has step depth 1 in the Made affirmative procedure,236,1,1,I4XeIlY8
60,Commencement Order made (signed into law) triggering approval period has step depth 3 in the Made affirmative procedure,238,1,3,y04Kpxig
61,Instrument created under paragraph 5(3) of Schedule 7 to the Local Government Finance Act 1988 has step depth 1 in the Made affirmative procedure,239,1,1,7zlX4ZNG
62,Instrument under paragraph 5(3) of Schedule 7 to the Local Government Finance Act 1988 made (signed into law) has step depth 2 in the Made affirmative procedure,240,1,2,js6OufZe
63,Approval period for instrument under paragraph 5(3) of Schedule 7 to the Local Government Finance Act 1988 ends has step depth 25 in the Made affirmative procedure,242,1,25,A8MZMMRv
64,Deadline for local authority budgets has step depth 24 in the Made affirmative procedure,243,1,24,rkSKJeNN
65,Local Government Finance Report (England) approved has step depth 17.200000762939453 in the Made affirmative procedure,244,1,17.200000762939453,smxN69O7
66,Question on motion to approve the Local Government Finance Report (England) put has step depth 17 in the Made affirmative procedure,251,1,17,2Vscf5A8
67,Local Government Finance Report (England) rejected has step depth 17.200000762939453 in the Made affirmative procedure,252,1,17.200000762939453,hkYyBOfX
68,Oral evidence session by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 5 in the Made affirmative procedure,979,1,5,XT1sQiEZ
69,Motion to approve the instrument not moved has step depth 14 in the Made affirmative procedure,1135,1,14,GGxALi7x
70,Motion to approve the instrument not called has step depth 14 in the Made affirmative procedure,1136,1,14,0NnE80af
71,Motion to approve the instrument not moved has step depth 22 in the Made affirmative procedure,1139,1,22,vxp4Mo8b
72,Motion to approve the instrument not called has step depth 22 in the Made affirmative procedure,1140,1,22,mG9PoZgF
73,Non-fatal motion to object to the instrument not called has step depth 20 in the Made affirmative procedure,1142,1,20,G8aU1R5c
74,Further information published by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.199999809265137 in the Made affirmative procedure,224,1,6.199999809265137,43gy3uRn
75,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 3.299999952316284 in the Made affirmative procedure,1281,1,3.299999952316284,tYcxEUGQ
76,Instrument created under the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 1 in the Made affirmative procedure,1282,1,1,ehcwZEHX
77,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 3.299999952316284 in the Made affirmative procedure,1322,1,3.299999952316284,nrrpusFR
78,Motion to stop the instrument being law tabled has step depth 9 in the Made affirmative procedure,1508,1,9,0taTirxL
79,Motion to stop the instrument being law withdrawn has step depth 18 in the Made affirmative procedure,1509,1,18,HXsNf1DD
80,Motion to stop the instrument being law lapsed at end of session has step depth 18 in the Made affirmative procedure,1510,1,18,ui0D8lRS
81,Motion to stop the instrument being law not moved has step depth 18 in the Made affirmative procedure,1511,1,18,HkDQdCrU
82,Motion to stop the instrument being law not called has step depth 18 in the Made affirmative procedure,1512,1,18,PGb7XY7K
83,Question on motion to stop the instrument being law put has step depth 18 in the Made affirmative procedure,1513,1,18,7ZLFbG0h
84,Motion to stop the instrument being law rejected has step depth 19 in the Made affirmative procedure,1514,1,19,ALiSfWyR
85,Motion to stop the instrument being law approved has step depth 19 in the Made affirmative procedure,1515,1,19,sZrnphFl
86,Chamber debate has step depth 21 in the Draft negative procedure,2,5,21,E0dpN5sX
87,Motion (prayer) to stop the instrument becoming law tabled has step depth 7 in the Draft negative procedure,3,5,7,53KfUe8s
88,Laid before the House of Commons has step depth 3 in the Draft negative procedure,4,5,3,7H68oGRt
89,Non-fatal motion (prayer) to object to the instrument tabled has step depth 18 in the Draft negative procedure,5,5,18,O7TdsdQq
90,Non-fatal motion (prayer) to object to the instrument rejected has step depth 25 in the Draft negative procedure,7,5,25,kRS2CeYh
91,Considered by the Joint Committee on Statutory Instruments (JCSI) has step depth 4 in the Draft negative procedure,8,5,4,Qyikr78v
92,Instrument comes into force as law has step depth 33 in the Draft negative procedure,9,5,33,Zc0XHfQa
93,Considered by the Select Committee on Statutory Instruments (SCSI) has step depth 4 in the Draft negative procedure,10,5,4,LXVFmmLG
94,Laid before the House of Lords has step depth 3 in the Draft negative procedure,12,5,3,vsg7InOU
95,Instrument created has step depth 1 in the Draft negative procedure,14,5,1,DFc1uLlf
96,Instrument made (signed into law) has step depth 32 in the Draft negative procedure,15,5,32,GuWFGgtb
97,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6 in the Draft negative procedure,19,5,6,OxJg8MuU
98,Non-fatal motion (prayer) to object to the instrument approved has step depth 25 in the Draft negative procedure,20,5,25,tfiaBI5W
99,Grand Committee debate has step depth 21 in the Draft negative procedure,21,5,21,Rc6eUKiE
100,Chamber debate has step depth 11 in the Draft negative procedure,23,5,11,bygwvg85
101,Motion to refer to a Delegated Legislation Committee (DLC) has step depth 9 in the Draft negative procedure,24,5,9,V62mLwnZ
102,Considered for English votes for English laws (EVEL) certification has step depth 10 in the Draft negative procedure,34,5,10,zoZOntHL
103,Delegated Legislation Committee (DLC) debate has step depth 11 in the Draft negative procedure,38,5,11,rv6pCQkt
104,Non-fatal motion (prayer) to object to the instrument withdrawn has step depth 24 in the Draft negative procedure,41,5,24,liwBMuU5
105,Motion (prayer) to stop the instrument becoming law rejected has step depth 23 in the Draft negative procedure,45,5,23,6e7cMI08
106,Motion (prayer) to stop the instrument becoming law withdrawn has step depth 22 in the Draft negative procedure,46,5,22,YyvgmbEM
107,Question on non-fatal motion (prayer) to object to the instrument put has step depth 24 in the Draft negative procedure,48,5,24,PGLP4UpF
108,Motion (prayer) to stop the instrument becoming law approved has step depth 23 in the Draft negative procedure,54,5,23,bDkotuOR
109,Motion (prayer) to stop the instrument becoming law rejected has step depth 14 in the Draft negative procedure,56,5,14,L8zEA2Sp
110,Non-fatal motion (prayer) to object to the instrument tabled has step depth 8 in the Draft negative procedure,57,5,8,eph5IT9Q
111,Motion (prayer) to stop the instrument becoming law withdrawn has step depth 12 in the Draft negative procedure,58,5,12,vitOC4Dx
112,Motion (prayer) to stop the instrument becoming law tabled has step depth 19 in the Draft negative procedure,59,5,19,ox2IjwpO
113,Question on motion (prayer) to stop the instrument becoming law put has step depth 12 in the Draft negative procedure,63,5,12,jAj3Pptj
114,Objection period ends has step depth 28 in the Draft negative procedure,64,5,28,biyGBDS2
115,Certified as England only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft negative procedure,68,5,10.100000381469727,DufOHJSt
116,Drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Draft negative procedure,69,5,4.099999904632568,g0TSGuIb
117,Not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Draft negative procedure,70,5,4.099999904632568,mdJZMYcX
118,No comment by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Draft negative procedure,72,5,6.099999904632568,XGOEJP74
119,Certified as England and Wales only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft negative procedure,74,5,10.100000381469727,UT2MyfvB
120,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft negative procedure",75,5,10.100000381469727,9nGz9PbB
121,Question on non-fatal motion (prayer) to object to the instrument put has step depth 15 in the Draft negative procedure,77,5,15,RpMSJ8t2
122,Not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Draft negative procedure,79,5,4.099999904632568,67fJwJbY
123,Non-fatal motion (prayer) to object to the instrument withdrawn has step depth 15 in the Draft negative procedure,83,5,15,VOy0iYmi
124,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Draft negative procedure,84,5,6.099999904632568,GAadcnTw
125,Instrument can be made (signed into law) has step depth 30 in the Draft negative procedure,85,5,30,qWOSZuCq
126,Question on motion (prayer) to stop the instrument becoming law put has step depth 22 in the Draft negative procedure,88,5,22,Sfbax6a3
127,Motion (prayer) to stop the instrument becoming law approved has step depth 14 in the Draft negative procedure,89,5,14,U9eCMavu
128,Non-fatal motion (prayer) to object to the instrument approved has step depth 17 in the Draft negative procedure,90,5,17,ot0AgQoK
129,Instrument cannot become law has step depth 30 in the Draft negative procedure,91,5,30,dLfZTobG
130,Drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Draft negative procedure,92,5,4.099999904632568,x6YOXS6P
131,Not certified under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft negative procedure,94,5,10.100000381469727,ozSu9Zku
132,Non-fatal motion (prayer) to object to the instrument rejected has step depth 17 in the Draft negative procedure,95,5,17,18fxPPfT
133,Instrument withdrawn from the House of Lords has step depth 29 in the Draft negative procedure,106,5,29,hErKEgxg
134,Instrument withdrawn from the House of Commons has step depth 29 in the Draft negative procedure,107,5,29,DnMkQ91X
135,Procedure concluded in the House of Commons has step depth 31 in the Draft negative procedure,110,5,31,ZwubHgjw
136,Procedure concluded in the House of Commons and the House of Lords has step depth 31 in the Draft negative procedure,111,5,31,zLdr99fO
137,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Draft negative procedure,143,5,6.099999904632568,eZAUuxFV
138,Motion (prayer) to stop the instrument becoming law not moved has step depth 12 in the Draft negative procedure,182,5,12,N14Ds8TI
139,Non-fatal motion (prayer) to object to the instrument not moved has step depth 15 in the Draft negative procedure,183,5,15,TOedfNFu
140,Motion (prayer) to stop the instrument becoming law not moved has step depth 22 in the Draft negative procedure,184,5,22,xwHYRWGt
141,Non-fatal motion (prayer) to object to the instrument not moved has step depth 24 in the Draft negative procedure,185,5,24,8bcn9nP8
142,Motion to take note of the instrument tabled has step depth 20 in the Draft negative procedure,194,5,20,HhVDareY
143,Motion to take note of the instrument withdrawn has step depth 26 in the Draft negative procedure,195,5,26,rihaAtGo
144,Decision on motion (prayer) to stop the instrument becoming law deferred has step depth 13 in the Draft negative procedure,199,5,13,ouYCnpgR
145,Non-fatal motion (prayer) to object to the instrument lapsed at end of session has step depth 15 in the Draft negative procedure,204,5,15,MDVcUk5s
146,Motion (prayer) to stop the instrument becoming law lapsed at end of session has step depth 12 in the Draft negative procedure,205,5,12,v08GKVI1
147,Motion to take note of the instrument lapsed at end of session has step depth 26 in the Draft negative procedure,207,5,26,fWnVYAZc
148,Non-fatal motion (prayer) to object to the instrument lapsed at end of session has step depth 24 in the Draft negative procedure,208,5,24,uVc6uTZv
149,Decision on non-fatal motion (prayer) to object to the instrument deferred has step depth 16 in the Draft negative procedure,209,5,16,PssixGYq
150,Motion (prayer) to stop the instrument becoming law lapsed at end of session has step depth 22 in the Draft negative procedure,210,5,22,DWPhSWQq
151,Further information published by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.199999809265137 in the Draft negative procedure,224,5,6.199999809265137,IvuW5810
152,Instrument introducing one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 created has step depth 1 in the Draft negative procedure,233,5,1,rvXTkuM8
153,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Draft negative procedure",234,5,2,NgaBHp7m
154,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Draft negative procedure",235,5,2,N69KSZRS
155,Oral evidence session by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 5 in the Draft negative procedure,979,5,5,WTxGy9px
156,Non-fatal motion (prayer) to object to the instrument not called has step depth 15 in the Draft negative procedure,1094,5,15,Ki35c08R
157,Non-fatal motion (prayer) to object to the instrument not called has step depth 24 in the Draft negative procedure,1104,5,24,4HQYCOpU
158,Motion to take note of the instrument not moved has step depth 26 in the Draft negative procedure,1112,5,26,fkXRXIJa
159,Motion to take note of the instrument not called has step depth 26 in the Draft negative procedure,1113,5,26,iKW9mmJh
160,Question on motion to take note of the instrument put has step depth 26 in the Draft negative procedure,1115,5,26,DVIy63zE
161,Motion to take note of the instrument approved has step depth 27 in the Draft negative procedure,1118,5,27,9fWCXfjs
162,Motion to take note of the instrument rejected has step depth 27 in the Draft negative procedure,1119,5,27,ZoQZiY35
163,Motion (prayer) to stop the instrument becoming law not called has step depth 12 in the Draft negative procedure,1125,5,12,npFkOG17
164,Motion (prayer) to stop the instrument becoming law not called has step depth 22 in the Draft negative procedure,1128,5,22,sMukk6xM
165,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Draft negative procedure,1281,5,2,DIpRx40S
166,Instrument created under the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 1 in the Draft negative procedure,1282,5,1,YbZHDHFX
167,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Draft negative procedure,1322,5,2,WmJvtVxo
168,Chamber debate has step depth 31 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,2,6,31,cAnsT0hH
169,Laid before the House of Commons has step depth 2 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,4,6,2,o9MwAoEA
170,Laid before the House of Lords has step depth 2 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,12,6,2,k4q698jj
171,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 12 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,19,6,12,lF1ovOl2
172,Grand Committee debate has step depth 30 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,21,6,30,QuPsi1Hd
173,Chamber debate has step depth 19 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,23,6,19,xUbO25vj
174,Motion to refer to a Delegated Legislation Committee (DLC) has step depth 18 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,24,6,18,VgoXpJAw
175,Delegated Legislation Committee (DLC) debate has step depth 19 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,38,6,19,1S3967yK
176,No comment by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 12.100000381469727 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,72,6,12.100000381469727,OQoS3Xoa
177,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 12.100000381469727 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,84,6,12.100000381469727,rlEGbW5z
178,Question on motion that the treaty should not be ratified put has step depth 23 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,116,6,23,AKmlW6yz
179,Question on motion that the treaty should not be ratified put has step depth 38 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,117,6,38,Zsyszkma
180,Ministerial statement under Section 22 of the Constitutional Reform and Governance Act 2010: Section 20 does not apply has step depth 3 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,118,6,3,VSUyocBa
181,Ministerial statement under Section 22 of the Constitutional Reform and Governance Act 2010: Section 20 does not apply has step depth 3 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,119,6,3,zR6XVMxW
182,Ministerial statement: treaty should nonetheless be ratified has step depth 40 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,120,6,40,3wWDpanQ
183,Ministerial statement: treaty should nonetheless be ratified has step depth 40 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,121,6,40,AqSNT7Da
184,Ministerial statement laid before the House of Commons: objection period A extended has step depth 14 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,122,6,14,F0diTRPg
185,Ministerial statement laid before the House of Lords: objection period A extended has step depth 14 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,123,6,14,3fAoij9r
186,Objection period A ends has step depth 42 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,125,6,42,h0pEVUFt
187,Objection period B ends has step depth 42 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,127,6,42,ZJE7sL5r
188,Motion that the treaty should not be ratified approved has step depth 25 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,128,6,25,VoXgSueR
189,Motion that the treaty should not be ratified approved has step depth 39 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,129,6,39,6O7rAHU9
190,Motion that the treaty should not be ratified rejected has step depth 25 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,130,6,25,d8FPsR7V
191,Motion that the treaty should not be ratified rejected has step depth 39 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,131,6,39,jMiwlkSF
192,Motion that the treaty should not be ratified tabled has step depth 17 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,132,6,17,hlj1NHPU
193,Motion that the treaty should not be ratified tabled has step depth 29 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,133,6,29,7VOItRvs
194,Motion that the treaty should not be ratified withdrawn has step depth 23 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,134,6,23,tJUKifU2
195,Motion that the treaty should not be ratified withdrawn has step depth 38 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,135,6,38,myt7bFr9
196,Treaty signed has step depth 1 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,136,6,1,Qwi8mvHo
197,Treaty withdrawn from the House of Commons has step depth 4 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,138,6,4,NLY2htdi
198,Treaty withdrawn from the House of Lords has step depth 4 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,139,6,4,4IBjCdQ4
199,"Parliamentary scrutiny concluded, Government cannot ratify treaty has step depth 43 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure",141,6,43,25ErZLez
200,"Parliamentary scrutiny concluded, Government can ratify treaty has step depth 43 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure",142,6,43,NGNytSd2
201,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 12.100000381469727 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,143,6,12.100000381469727,UzSvSk7v
202,Considered by the International Trade Committee (ITC) has step depth 8.100000381469727 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,144,6,8.100000381469727,oJTgEyP2
203,International Trade Committee (ITC) recommended the treaty should not be ratified has step depth 8.199999809265137 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,145,6,8.199999809265137,aKZO7rXg
204,International Trade Committee (ITC) recommended a general debate has step depth 8.199999809265137 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,146,6,8.199999809265137,h9Zy7lif
206,Motion calling on the Government to extend objection period A tabled has step depth 26 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,150,6,26,UWSC0IGD
207,Allocated to the EU Select Committee has step depth 12.300000190734863 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,151,6,12.300000190734863,YtirJkXH
208,Allocated to the EU Financial Affairs Sub-Committee has step depth 12.899999618530273 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,152,6,12.899999618530273,fFNuxG2K
209,Allocated to the EU Internal Market Sub-Committee has step depth 12.899999618530273 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,153,6,12.899999618530273,7MOLPQog
210,Allocated to the EU Energy and Environment Sub-Committee has step depth 12.899999618530273 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,154,6,12.899999618530273,ilSyUfFB
211,Allocated to the EU External Affairs Sub-Committee has step depth 12.899999618530273 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,155,6,12.899999618530273,gPrUuOOI
212,Allocated to the EU Justice Sub-Committee has step depth 12.899999618530273 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,156,6,12.899999618530273,NhXo2tGP
213,Allocated to the EU Home Affairs Sub-Committee has step depth 12.899999618530273 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,157,6,12.899999618530273,ifQNqypF
214,Drawn to the special attention of the House by the European Union Committee has step depth 12.109999656677246 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,158,6,12.109999656677246,mT16GYy2
215,Reported for information by the European Union Committee has step depth 12.109999656677246 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,159,6,12.109999656677246,5YoWXf4B
216,Motion to take note of the treaty tabled has step depth 27 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,161,6,27,CveYmVdO
217,Motion to take note of the treaty withdrawn has step depth 34 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,162,6,34,nVD9E7W1
