availabilityof,starton,hasavailabilitystatus,label
urn:procedure-editor:Route:4302,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AD Decision to Allocated to the EU External Affairs Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4303,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AE Decision to Allocated to the EU Financial Affairs Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4304,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords BM AND to Allocated to the EU Home Affairs Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4305,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords BN AND to Allocated to the EU Internal Market Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4306,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords BO AND to Allocated to the EU Justice Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4307,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords BP AND to Allocated to the EU International Agreements Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4309,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AJ Decision to Information published by the EU Select Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4314,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AL Decision to Call for evidence opened by the EU Select Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4322,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AK Decision to Correspondence published by the EU International Agreements Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4325,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AM Decision to Call for evidence opened by the EU International Agreements Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4362,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AN Decision to Considered by the European Union Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4366,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AO Decision to Government response to the decision made by the European Union Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4370,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY LORDS AE Summation to Reported for information by the European Union Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4378,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY LORDS AE Summation to Drawn to the special attention of the House by the European Union Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4427,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AA Decision to International Trade Committee (ITC) inquiry opened (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:4438,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AB Decision to Considered by the International Trade Committee (ITC) (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:4441,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Considered by the International Trade Committee (ITC) (House of Commons) to Government response to the decision made by the International Trade Committee (ITC) (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:4444,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AC Decision to International Trade Committee (ITC) recommended that objection period A be extended (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:4449,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AD Decision to International Trade Committee (ITC) recommended a general debate (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:4454,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AA Summation to International Trade Committee (ITC) recommended the treaty should be ratified (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:4459,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AA Summation to International Trade Committee (ITC) recommended the treaty should not be ratified (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:6519,2020-04-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AC Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Draft affirmative remedial order procedure
urn:procedure-editor:Route:6856,2021-11-18,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from BW Decision to Deferred decision on motion to approve the instrument cancelled (House of Commons) in the Draft affirmative procedure
urn:procedure-editor:Route:6988,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AR Decision to European Union Committee called for a debate on the treaty (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:7073,2022-01-27,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from BX Decision to Motion to take note of the instrument tabled (House of Lords) in the Draft affirmative procedure
urn:procedure-editor:Route:7078,2022-02-01,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from BY Decision to Motion to take note of the instrument withdrawn (House of Lords) in the Draft affirmative procedure
urn:procedure-editor:Route:7158,2020-04-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AD Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Made affirmative remedial order procedure
urn:procedure-editor:Route:7708,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY LORDS AC Summation to Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:7718,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY LORDS AC Summation to No comment by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:7723,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY LORDS AC Summation to Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:7733,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AV Decision to Further information published by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:7746,2022-06-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AG Decision to Preliminary report by the International Trade Committee (ITC) (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:7752,2022-06-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AH Decision to Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:7756,2022-06-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AI Decision to Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:7763,2022-06-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from TREATY ITC AJ Decision to Preliminary report by the International Trade Committee (ITC) recommended that, should period A not be extended, there should be a debate on a substantive motion during period A (House of Commons) in the CRAG Treaty ITC procedure"
urn:procedure-editor:Route:7768,2022-07-07,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AK Decision to International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:7773,2022-07-07,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AL Decision to International Trade Committee (ITC) recommended Members should vote against ratification in any debate on a substantive motion during period A (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:8106,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from LROCPD BI AND to Procedure considered by the Business, Energy and Industrial Strategy Committee (House of Commons) in the Legislative reform order: Commons procedure determination procedure"
urn:procedure-editor:Route:8110,2021-05-21,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from LROCPD BG AND to Procedure considered by the Regulatory Reform Committee (RRC) (House of Commons) in the Legislative reform order: Commons procedure determination procedure
urn:procedure-editor:Route:8165,2021-05-21,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from LROCPD AA Decision to Government response to the procedure recommendation by the Regulatory Reform Committee (RRC) (House of Commons) in the Legislative reform order: Commons procedure determination procedure
urn:procedure-editor:Route:8167,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from LROCPD AB Decision to Government response to the procedure recommendation by the Business, Energy and Industrial Strategy Committee (House of Commons) in the Legislative reform order: Commons procedure determination procedure"
urn:procedure-editor:Route:8193,2021-05-21,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from LROCPD AC AND to Regulatory Reform Committee (RRC) agreed the instrument should follow the super-affirmative procedure (House of Commons) in the Legislative reform order: Commons procedure determination procedure
urn:procedure-editor:Route:8223,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from LROCPD AH AND to Business, Energy and Industrial Strategy Committee agreed the instrument should follow the super-affirmative procedure (House of Commons) in the Legislative reform order: Commons procedure determination procedure"
urn:procedure-editor:Route:8341,2021-05-21,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from LROCCC AG AND to Considered by the Regulatory Reform Committee (RRC) (House of Commons) in the Legislative reform order: Commons committee consideration procedure
urn:procedure-editor:Route:8344,2021-05-21,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Considered by the Regulatory Reform Committee (RRC) (House of Commons) to Government response to the decision by the Regulatory Reform Committee (RRC) (House of Commons) in the Legislative reform order: Commons committee consideration procedure
urn:procedure-editor:Route:8360,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from LROCCC AH AND to Considered by the Business, Energy and Industrial Strategy Committee (House of Commons) in the Legislative reform order: Commons committee consideration procedure"
urn:procedure-editor:Route:8363,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from Considered by the Business, Energy and Industrial Strategy Committee (House of Commons) to Government response to the decision by the Business, Energy and Industrial Strategy Committee (House of Commons) in the Legislative reform order: Commons committee consideration procedure"
urn:procedure-editor:Route:8676,2020-04-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AB Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Legislative Reform Order procedure
urn:procedure-editor:Route:9097,2021-05-21,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from LRO BM Summation to Oral evidence session by the Regulatory Reform Committee (RRC) (House of Commons) in the Legislative Reform Order procedure
urn:procedure-editor:Route:9098,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from LRO BM Summation to Oral evidence session by the Business, Energy and Industrial Strategy Committee (House of Commons) in the Legislative Reform Order procedure"
urn:procedure-editor:Route:9200,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AM Decision to Oral evidence session by the International Trade Committee (ITC) (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:9203,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AN Decision to Call for evidence opened by the International Trade Committee (ITC) (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:9278,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AO Decision to International Trade Committee (ITC) recommended a debate on a substantive motion take place during period A (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:10162,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY PLS AE Decision to Trade and Agriculture Commission advice to the Secretary of State for International Trade laid before the House of Commons (House of Commons) in the CRaG Treaty pre-laying scrutiny procedure
urn:procedure-editor:Route:10166,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY PLS AF Decision to Trade and Agriculture Commission advice to the Secretary of State for International Trade withdrawn from the House of Commons (House of Commons) in the CRaG Treaty pre-laying scrutiny procedure
urn:procedure-editor:Route:10238,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY PLS AV Decision to Trade and Agriculture Commission advice to the Secretary of State for International Trade laid before the House of Lords (House of Lords) in the CRaG Treaty pre-laying scrutiny procedure
urn:procedure-editor:Route:10242,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY PLS AW Decision to Trade and Agriculture Commission advice to the Secretary of State for International Trade withdrawn from the House of Lords (House of Lords) in the CRaG Treaty pre-laying scrutiny procedure
urn:procedure-editor:Route:10246,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY PLS AX Decision to International Trade Committee (ITC) scrutiny report of government negotiation objectives (House of Commons) in the CRaG Treaty pre-laying scrutiny procedure
urn:procedure-editor:Route:10248,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY PLS AY Decision to Government response to the International Trade Committee (ITC) scrutiny report of government objectives (House of Commons) in the CRaG Treaty pre-laying scrutiny procedure
urn:procedure-editor:Route:10298,2023-04-26,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from TREATY ITC AP Decision to Correspondence published by the International Trade Committee (ITC) (House of Commons) in the CRAG Treaty ITC procedure
urn:procedure-editor:Route:10552,2024-05-30,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from PNSICC AB AND to Considered by the European Statutory Instruments Committee (ESIC) (House of Commons) in the Proposed negative statutory instruments: Commons committees procedure
urn:procedure-editor:Route:10936,2020-04-23,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AH Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Made affirmative procedure
urn:procedure-editor:Route:10968,2023-02-07,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from BZ Decision to Statement by the Chair that there can be no further debate on the instrument (House of Commons) in the Made affirmative procedure
urn:procedure-editor:Route:12032,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AL Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Enhanced affirmative: Investigatory Powers Act 2016 procedure
urn:procedure-editor:Route:12505,2024-12-06,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from CY Decision to Correction made: Instrument should not have been laid in the House of Lords (House of Lords) in the Made negative procedure
urn:procedure-editor:Route:13342,2024-05-30,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from PNSICC AD Summation to European Statutory Instruments Committee (ESIC) agreed the instrument should follow the negative procedure (House of Commons) in the Proposed negative statutory instruments: Commons committees procedure
urn:procedure-editor:Route:13343,2024-05-30,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from PNSICC AD Summation to European Statutory Instruments Committee (ESIC) recommended the instrument should follow the affirmative procedure (House of Commons) in the Proposed negative statutory instruments: Commons committees procedure
